corner_label,cap_section,temp_c,vbias_v,device_model,w_um,l_um,wfeed_um,status,srf_hz,c_1ghz_f,c_2ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_2ghz,q_5ghz,q_10ghz,q_20ghz
bcs,cap_bcs,27,0.0,cap_rfcmim,50,50,15,PASS,1.69974e+10,3.39567e-12,3.43413e-12,3.72465e-12,5.20079e-12,-6.45559e-12,1.67939e+02,8.15560e+01,2.69610e+01,7.43123e+00,1.51149e+00
bcs,cap_bcs,27,1.5,cap_cmim,20,20,,PASS,none,5.43200e-13,5.43200e-13,5.43200e-13,5.43198e-13,5.43192e-13,5.32720e+03,2.66360e+03,1.06544e+03,5.32721e+02,2.66360e+02
bcs,cap_bcs,27,1.5,cap_cmim,35,35,,PASS,none,1.65935e-12,1.65935e-12,1.65934e-12,1.65930e-12,1.65913e-12,1.74390e+03,8.71950e+02,3.48780e+02,1.74390e+02,8.71948e+01
bcs,cap_bcs,27,1.5,cap_cmim,50,50,,PASS,none,3.38300e-12,3.38298e-12,3.38288e-12,3.38254e-12,3.38115e-12,8.55375e+02,4.27688e+02,1.71075e+02,8.55377e+01,4.27688e+01
bcs,cap_bcs,27,1.5,cap_rfcmim,20,20,5,PASS,5.66581e+10,5.43397e-13,5.43983e-13,5.48080e-13,5.62712e-13,6.25268e-13,9.52116e+02,4.71520e+02,1.77392e+02,7.54092e+01,2.71622e+01
bcs,cap_bcs,27,1.5,cap_rfcmim,35,35,10,PASS,2.80533e+10,1.66173e-12,1.66889e-12,1.72012e-12,1.92196e-12,3.32727e-12,3.66528e+02,1.79848e+02,6.38156e+01,2.31073e+01,4.71288e+00
bcs,cap_bcs,27,1.5,cap_rfcmim,50,50,15,PASS,1.69974e+10,3.39567e-12,3.43413e-12,3.72465e-12,5.20079e-12,-6.45559e-12,1.67939e+02,8.15560e+01,2.69610e+01,7.43123e+00,1.51149e+00
bcs,cap_bcs,125,0.0,cap_cmim,20,20,,PASS,none,5.43402e-13,5.43402e-13,5.43402e-13,5.43400e-13,5.43394e-13,5.32522e+03,2.66261e+03,1.06504e+03,5.32523e+02,2.66261e+02
bcs,cap_bcs,125,0.0,cap_cmim,35,35,,PASS,none,1.65997e-12,1.65997e-12,1.65995e-12,1.65991e-12,1.65975e-12,1.74325e+03,8.71625e+02,3.48650e+02,1.74325e+02,8.71624e+01
bcs,cap_bcs,125,0.0,cap_cmim,50,50,,PASS,none,3.38425e-12,3.38424e-12,3.38414e-12,3.38380e-12,3.38241e-12,8.55057e+02,4.27529e+02,1.71012e+02,8.55059e+01,4.27528e+01
