device_class,device_key,corner_label,temp_c,domain,v_min,v_max,n_points,c_at_vmin_1ghz_f,c_at_vmax_1ghz_f,cmax_1ghz_f,cmin_1ghz_f,cmax_over_cmin,dcdv_peak_f_per_v,dcdv_min_f_per_v
mos,mid,ff,-40,full,0.0,3.3,9,1.16756e-13,5.31553e-14,1.167560e-13,5.301200e-14,2.20244,-7.802000e-14,1.556667e-16
mos,mid,ff,-40,core,0.0,1.2,5,1.16756e-13,6.12323e-14,1.167560e-13,6.123230e-14,1.90677,-7.802000e-14,-1.904467e-14
mos,large,ff,-40,full,0.0,3.3,9,5.04338e-13,2.59374e-13,5.043380e-13,2.586410e-13,1.94995,-2.349100e-13,7.966667e-16
mos,large,ff,-40,core,0.0,1.2,5,5.04338e-13,2.99528e-13,5.043380e-13,2.995280e-13,1.68378,-2.349100e-13,-8.986333e-14
mos,xlarge,ff,-40,full,0.0,3.3,9,2.01735e-12,1.03750e-12,2.017350e-12,1.034570e-12,1.94994,-9.396333e-13,3.183333e-15
mos,xlarge,ff,-40,core,0.0,1.2,5,2.01735e-12,1.19811e-12,2.017350e-12,1.198110e-12,1.68378,-9.396333e-13,-3.594667e-13
mos,small,ff,27,full,0.0,3.3,9,1.07584e-14,5.61315e-15,1.075840e-14,5.608990e-15,1.91806,-6.012467e-15,3.533333e-18
mos,small,ff,27,core,0.0,1.2,5,1.07584e-14,6.24535e-15,1.075840e-14,6.245350e-15,1.72263,-6.012467e-15,-1.626667e-15
mos,mid,ff,27,full,0.0,3.3,9,1.14403e-13,5.38797e-14,1.144030e-13,5.383050e-14,2.12524,-7.040833e-14,4.183333e-17
mos,mid,ff,27,core,0.0,1.2,5,1.14403e-13,6.13558e-14,1.144030e-13,6.135580e-14,1.86458,-7.040833e-14,-1.921567e-14
mos,large,ff,27,full,0.0,3.3,9,4.98294e-13,2.63068e-13,4.982940e-13,2.628180e-13,1.89597,-2.193067e-13,2.116667e-16
mos,large,ff,27,core,0.0,1.2,5,4.98294e-13,3.00124e-13,4.982940e-13,3.001240e-13,1.66029,-2.193067e-13,-9.056000e-14
mos,xlarge,ff,27,full,0.0,3.3,9,1.99318e-12,1.05227e-12,1.993180e-12,1.051270e-12,1.89597,-8.772333e-13,8.500000e-16
mos,xlarge,ff,27,core,0.0,1.2,5,1.99318e-12,1.20049e-12,1.993180e-12,1.200490e-12,1.66031,-8.772333e-13,-3.622667e-13
mos,small,ff,125,full,0.0,3.3,9,1.05168e-14,5.72665e-15,1.051680e-14,5.726650e-15,1.83647,-5.305333e-15,-4.666667e-18
mos,small,ff,125,core,0.0,1.2,5,1.05168e-14,6.26304e-15,1.051680e-14,6.263040e-15,1.67918,-5.305333e-15,-1.650400e-15
mos,mid,ff,125,full,0.0,3.3,9,1.11586e-13,5.52226e-14,1.115860e-13,5.522260e-14,2.02066,-6.216433e-14,-5.500000e-17
mos,mid,ff,125,core,0.0,1.2,5,1.11586e-13,6.15649e-14,1.115860e-13,6.156490e-14,1.81249,-6.216433e-14,-1.949533e-14
mos,large,ff,125,full,0.0,3.3,9,4.91012e-13,2.69871e-13,4.910120e-13,2.698710e-13,1.81943,-2.092633e-13,-2.766667e-16
mos,large,ff,125,core,0.0,1.2,5,4.91012e-13,3.01134e-13,4.910120e-13,3.011340e-13,1.63054,-2.092633e-13,-9.169333e-14
mos,xlarge,ff,125,full,0.0,3.3,9,1.96405e-12,1.07948e-12,1.964050e-12,1.079480e-12,1.81944,-8.370333e-13,-1.133333e-15
mos,xlarge,ff,125,core,0.0,1.2,5,1.96405e-12,1.20453e-12,1.964050e-12,1.204530e-12,1.63055,-8.370333e-13,-3.668000e-13
mos,small,sf,-40,full,0.0,3.3,9,1.04656e-14,5.48499e-15,1.046560e-14,5.475800e-15,1.91125,-5.954500e-15,9.433333e-18
mos,small,sf,-40,core,0.0,1.2,5,1.04656e-14,6.16549e-15,1.046560e-14,6.165490e-15,1.69745,-5.954500e-15,-1.534200e-15
mos,mid,sf,-40,full,0.0,3.3,9,1.11178e-13,5.24342e-14,1.111780e-13,5.232520e-14,2.12475,-6.993833e-14,1.120000e-16
mos,mid,sf,-40,core,0.0,1.2,5,1.11178e-13,6.05001e-14,1.111780e-13,6.050010e-14,1.83765,-6.993833e-14,-1.816567e-14
mos,large,sf,-40,full,0.0,3.3,9,4.89969e-13,2.55913e-13,4.899690e-13,2.553530e-13,1.91879,-2.234200e-13,5.750000e-16
mos,large,sf,-40,core,0.0,1.2,5,4.89969e-13,2.96258e-13,4.899690e-13,2.962580e-13,1.65386,-2.234200e-13,-8.639000e-14
mos,xlarge,sf,-40,full,0.0,3.3,9,1.95988e-12,1.02365e-12,1.959880e-12,1.021410e-12,1.9188,-8.937000e-13,2.300000e-15
mos,xlarge,sf,-40,core,0.0,1.2,5,1.95988e-12,1.18503e-12,1.959880e-12,1.185030e-12,1.65387,-8.937000e-13,-3.455667e-13
mos,small,sf,27,full,0.0,3.3,9,1.02865e-14,5.54452e-15,1.028650e-14,5.542890e-15,1.8558,-5.373367e-15,3.166667e-19
mos,small,sf,27,core,0.0,1.2,5,1.02865e-14,6.17537e-15,1.028650e-14,6.175370e-15,1.66573,-5.373367e-15,-1.547400e-15
mos,mid,sf,27,full,0.0,3.3,9,1.09080e-13,5.31401e-14,1.090800e-13,5.312090e-14,2.05343,-6.313167e-14,3.500000e-18
mos,mid,sf,27,core,0.0,1.2,5,1.09080e-13,6.06171e-14,1.090800e-13,6.061710e-14,1.79949,-6.313167e-14,-1.832133e-14
mos,large,sf,27,full,0.0,3.3,9,4.84112e-13,2.59534e-13,4.841120e-13,2.594360e-13,1.86602,-2.045767e-13,1.833333e-17
mos,large,sf,27,core,0.0,1.2,5,4.84112e-13,2.96827e-13,4.841120e-13,2.968270e-13,1.63096,-2.045767e-13,-8.703000e-14
mos,xlarge,sf,27,full,0.0,3.3,9,1.93645e-12,1.03814e-12,1.936450e-12,1.037740e-12,1.86603,-8.183000e-13,8.333333e-17
mos,xlarge,sf,27,core,0.0,1.2,5,1.93645e-12,1.18731e-12,1.936450e-12,1.187310e-12,1.63096,-8.183000e-13,-3.481000e-13
mos,small,sf,125,full,0.0,3.3,9,1.00714e-14,5.65467e-15,1.007140e-14,5.654670e-15,1.78108,-4.744167e-15,-6.200000e-18
mos,small,sf,125,core,0.0,1.2,5,1.00714e-14,6.19199e-15,1.007140e-14,6.191990e-15,1.62652,-4.744167e-15,-1.568767e-15
mos,mid,sf,125,full,0.0,3.3,9,1.06563e-13,5.44463e-14,1.065630e-13,5.444630e-14,1.95721,-5.576967e-14,-7.333333e-17
mos,mid,sf,125,core,0.0,1.2,5,1.06563e-13,6.08141e-14,1.065630e-13,6.081410e-14,1.75227,-5.576967e-14,-1.857367e-14
mos,large,sf,125,full,0.0,3.3,9,4.77065e-13,2.66191e-13,4.770650e-13,2.661910e-13,1.79219,-1.950700e-13,-3.733333e-16
mos,large,sf,125,core,0.0,1.2,5,4.77065e-13,2.97784e-13,4.770650e-13,2.977840e-13,1.60205,-1.950700e-13,-8.806667e-14
mos,xlarge,sf,125,full,0.0,3.3,9,1.90826e-12,1.06476e-12,1.908260e-12,1.064760e-12,1.7922,-7.802667e-13,-1.500000e-15
mos,xlarge,sf,125,core,0.0,1.2,5,1.90826e-12,1.19114e-12,1.908260e-12,1.191140e-12,1.60205,-7.802667e-13,-3.522667e-13
mos,small,fs,-40,full,0.0,3.3,9,1.08307e-14,5.53450e-15,1.083070e-14,5.523430e-15,1.96086,-6.399800e-15,1.180000e-17
mos,small,fs,-40,core,0.0,1.2,5,1.08307e-14,6.22523e-15,1.083070e-14,6.225230e-15,1.73981,-6.399800e-15,-1.599833e-15
mos,mid,fs,-40,full,0.0,3.3,9,1.15247e-13,5.29491e-14,1.152470e-13,5.281810e-14,2.18196,-7.494000e-14,1.396667e-16
mos,mid,fs,-40,core,0.0,1.2,5,1.15247e-13,6.11179e-14,1.152470e-13,6.111790e-14,1.88565,-7.494000e-14,-1.890000e-14
mos,large,fs,-40,full,0.0,3.3,9,5.00482e-13,2.58320e-13,5.004820e-13,2.576490e-13,1.9425,-2.289233e-13,7.150000e-16
mos,large,fs,-40,core,0.0,1.2,5,5.00482e-13,2.98976e-13,5.004820e-13,2.989760e-13,1.67399,-2.289233e-13,-8.927667e-14
mos,xlarge,fs,-40,full,0.0,3.3,9,2.00193e-12,1.03328e-12,2.001930e-12,1.030590e-12,1.94251,-9.157000e-13,2.866667e-15
mos,xlarge,fs,-40,core,0.0,1.2,5,2.00193e-12,1.19590e-12,2.001930e-12,1.195900e-12,1.67399,-9.157000e-13,-3.571333e-13
mos,small,fs,27,full,0.0,3.3,9,1.06350e-14,5.59531e-15,1.063500e-14,5.592090e-15,1.90179,-5.775167e-15,2.300000e-18
mos,small,fs,27,core,0.0,1.2,5,1.06350e-14,6.23556e-15,1.063500e-14,6.235560e-15,1.70554,-5.775167e-15,-1.614100e-15
mos,mid,fs,27,full,0.0,3.3,9,1.12962e-13,5.36686e-14,1.129620e-13,5.363050e-14,2.1063,-6.764867e-14,2.733333e-17
mos,mid,fs,27,core,0.0,1.2,5,1.12962e-13,6.12400e-14,1.129620e-13,6.124000e-14,1.84458,-6.764867e-14,-1.906800e-14
mos,large,fs,27,full,0.0,3.3,9,4.94476e-13,2.61994e-13,4.944760e-13,2.617990e-13,1.88876,-2.157433e-13,1.400000e-16
mos,large,fs,27,core,0.0,1.2,5,4.94476e-13,2.99565e-13,4.944760e-13,2.995650e-13,1.65065,-2.157433e-13,-8.996667e-14
mos,xlarge,fs,27,full,0.0,3.3,9,1.97790e-12,1.04797e-12,1.977900e-12,1.047200e-12,1.88875,-8.630000e-13,5.500000e-16
mos,xlarge,fs,27,core,0.0,1.2,5,1.97790e-12,1.19826e-12,1.977900e-12,1.198260e-12,1.65064,-8.630000e-13,-3.598667e-13
mos,small,fs,125,full,0.0,3.3,9,1.04003e-14,5.70795e-15,1.040030e-14,5.707950e-15,1.82207,-5.099567e-15,-5.233333e-18
mos,small,fs,125,core,0.0,1.2,5,1.04003e-14,6.25299e-15,1.040030e-14,6.252990e-15,1.66325,-5.099567e-15,-1.637367e-15
mos,mid,fs,125,full,0.0,3.3,9,1.10224e-13,5.50013e-14,1.102240e-13,5.500130e-14,2.00403,-5.976900e-14,-6.200000e-17
mos,mid,fs,125,core,0.0,1.2,5,1.10224e-13,6.14461e-14,1.102240e-13,6.144610e-14,1.79383,-5.976900e-14,-1.934200e-14
mos,large,fs,125,full,0.0,3.3,9,4.87239e-13,2.68754e-13,4.872390e-13,2.687540e-13,1.81296,-2.054600e-13,-3.133333e-16
mos,large,fs,125,core,0.0,1.2,5,4.87239e-13,3.00562e-13,4.872390e-13,3.005620e-13,1.62109,-2.054600e-13,-9.107667e-14
mos,xlarge,fs,125,full,0.0,3.3,9,1.94896e-12,1.07502e-12,1.948960e-12,1.075020e-12,1.81295,-8.218667e-13,-1.233333e-15
mos,xlarge,fs,125,core,0.0,1.2,5,1.94896e-12,1.20225e-12,1.948960e-12,1.202250e-12,1.62109,-8.218667e-13,-3.643000e-13
diode,dasm,tt,-40,full,0.0,3.3,9,1.56577e-15,1.53376e-15,1.589900e-15,1.533760e-15,1.0366,6.136667e-17,-2.566667e-18
diode,dasm,tt,-40,core,0.0,1.2,5,1.56577e-15,1.58480e-15,1.589900e-15,1.565770e-15,1.01541,6.136667e-17,-2.566667e-18
diode,dalg,tt,-40,full,0.0,3.3,9,1.43945e-13,1.40260e-13,1.464890e-13,1.402600e-13,1.04441,6.410000e-15,-1.500000e-16
diode,dalg,tt,-40,core,0.0,1.2,5,1.43945e-13,1.46028e-13,1.464890e-13,1.439450e-13,1.01767,6.410000e-15,-1.500000e-16
diode,dpsm,tt,-40,full,0.0,3.3,9,2.05934e-15,1.66281e-15,2.059340e-15,1.662810e-15,1.23847,-1.751667e-16,-7.790000e-17
diode,dpsm,tt,-40,core,0.0,1.2,5,2.05934e-15,1.87043e-15,2.059340e-15,1.870430e-15,1.101,-1.751667e-16,-1.375333e-16
diode,dplg,tt,-40,full,0.0,3.3,9,1.83596e-13,1.48376e-13,1.835960e-13,1.483760e-13,1.23737,-1.433000e-14,-7.176667e-15
diode,dplg,tt,-40,core,0.0,1.2,5,1.83596e-13,1.67320e-13,1.835960e-13,1.673200e-13,1.09727,-1.433000e-14,-1.229667e-14
diode,dasm,tt,27,full,0.0,3.3,9,1.54631e-15,1.56895e-15,1.590020e-15,1.546310e-15,1.02827,9.366667e-17,1.333333e-19
diode,dasm,tt,27,core,0.0,1.2,5,1.54631e-15,1.58911e-15,1.590020e-15,1.546310e-15,1.02827,9.366667e-17,-3.033333e-18
diode,dalg,tt,27,full,0.0,3.3,9,1.41938e-13,1.41231e-13,1.465290e-13,1.412310e-13,1.03751,1.018000e-14,-5.766667e-16
diode,dalg,tt,27,core,0.0,1.2,5,1.41938e-13,1.46356e-13,1.465290e-13,1.419380e-13,1.03235,1.018000e-14,-5.766667e-16
diode,dpsm,tt,27,full,0.0,3.3,9,2.08959e-15,1.69000e-15,2.089590e-15,1.690000e-15,1.23644,-1.649000e-16,-7.973333e-17
diode,dpsm,tt,27,core,0.0,1.2,5,2.08959e-15,1.90261e-15,2.089590e-15,1.902610e-15,1.09828,-1.649000e-16,-1.403333e-16
diode,dplg,tt,27,full,0.0,3.3,9,1.85687e-13,1.50815e-13,1.856870e-13,1.508150e-13,1.23122,-1.376667e-14,-7.323333e-15
diode,dplg,tt,27,core,0.0,1.2,5,1.85687e-13,1.70117e-13,1.856870e-13,1.701170e-13,1.09153,-1.376667e-14,-1.240667e-14
diode,dasm,tt,125,full,0.0,3.3,9,1.50975e-15,1.57673e-15,1.587930e-15,1.509750e-15,1.05178,1.218667e-16,-1.400000e-18
diode,dasm,tt,125,core,0.0,1.2,5,1.50975e-15,1.58543e-15,1.585430e-15,1.509750e-15,1.05013,1.218667e-16,1.623333e-17
diode,dalg,tt,125,full,0.0,3.3,9,1.38166e-13,1.41654e-13,1.464930e-13,1.381660e-13,1.06027,1.784000e-14,1.933333e-16
diode,dalg,tt,125,core,0.0,1.2,5,1.38166e-13,1.46493e-13,1.464930e-13,1.381660e-13,1.06027,1.784000e-14,1.933333e-16
diode,dpsm,tt,125,full,0.0,3.3,9,2.11572e-15,1.69143e-15,2.115720e-15,1.691430e-15,1.25085,-1.770667e-16,-8.413333e-17
diode,dpsm,tt,125,core,0.0,1.2,5,2.11572e-15,1.91925e-15,2.115720e-15,1.919250e-15,1.10237,-1.770667e-16,-1.533333e-16
diode,dplg,tt,125,full,0.0,3.3,9,1.86942e-13,1.51160e-13,1.869420e-13,1.511600e-13,1.23672,-1.421333e-14,-7.720000e-15
diode,dplg,tt,125,core,0.0,1.2,5,1.86942e-13,1.71771e-13,1.869420e-13,1.717710e-13,1.08832,-1.421333e-14,-8.976667e-15
diode,dasm,ss,-40,full,0.0,3.3,9,1.56577e-15,1.53376e-15,1.589900e-15,1.533760e-15,1.0366,6.136667e-17,-2.566667e-18
diode,dasm,ss,-40,core,0.0,1.2,5,1.56577e-15,1.58480e-15,1.589900e-15,1.565770e-15,1.01541,6.136667e-17,-2.566667e-18
diode,dalg,ss,-40,full,0.0,3.3,9,1.43945e-13,1.40260e-13,1.464890e-13,1.402600e-13,1.04441,6.410000e-15,-1.500000e-16
diode,dalg,ss,-40,core,0.0,1.2,5,1.43945e-13,1.46028e-13,1.464890e-13,1.439450e-13,1.01767,6.410000e-15,-1.500000e-16
diode,dpsm,ss,-40,full,0.0,3.3,9,2.05934e-15,1.66281e-15,2.059340e-15,1.662810e-15,1.23847,-1.751667e-16,-7.790000e-17
diode,dpsm,ss,-40,core,0.0,1.2,5,2.05934e-15,1.87043e-15,2.059340e-15,1.870430e-15,1.101,-1.751667e-16,-1.375333e-16
diode,dplg,ss,-40,full,0.0,3.3,9,1.83596e-13,1.48376e-13,1.835960e-13,1.483760e-13,1.23737,-1.433000e-14,-7.176667e-15
diode,dplg,ss,-40,core,0.0,1.2,5,1.83596e-13,1.67320e-13,1.835960e-13,1.673200e-13,1.09727,-1.433000e-14,-1.229667e-14
diode,dasm,ss,27,full,0.0,3.3,9,1.54631e-15,1.56895e-15,1.590020e-15,1.546310e-15,1.02827,9.366667e-17,1.333333e-19
diode,dasm,ss,27,core,0.0,1.2,5,1.54631e-15,1.58911e-15,1.590020e-15,1.546310e-15,1.02827,9.366667e-17,-3.033333e-18
diode,dalg,ss,27,full,0.0,3.3,9,1.41938e-13,1.41231e-13,1.465290e-13,1.412310e-13,1.03751,1.018000e-14,-5.766667e-16
diode,dalg,ss,27,core,0.0,1.2,5,1.41938e-13,1.46356e-13,1.465290e-13,1.419380e-13,1.03235,1.018000e-14,-5.766667e-16
diode,dpsm,ss,27,full,0.0,3.3,9,2.08959e-15,1.69000e-15,2.089590e-15,1.690000e-15,1.23644,-1.649000e-16,-7.973333e-17
diode,dpsm,ss,27,core,0.0,1.2,5,2.08959e-15,1.90261e-15,2.089590e-15,1.902610e-15,1.09828,-1.649000e-16,-1.403333e-16
diode,dplg,ss,27,full,0.0,3.3,9,1.85687e-13,1.50815e-13,1.856870e-13,1.508150e-13,1.23122,-1.376667e-14,-7.323333e-15
diode,dplg,ss,27,core,0.0,1.2,5,1.85687e-13,1.70117e-13,1.856870e-13,1.701170e-13,1.09153,-1.376667e-14,-1.240667e-14
diode,dasm,ss,125,full,0.0,3.3,9,1.50975e-15,1.57673e-15,1.587930e-15,1.509750e-15,1.05178,1.218667e-16,-1.400000e-18
diode,dasm,ss,125,core,0.0,1.2,5,1.50975e-15,1.58543e-15,1.585430e-15,1.509750e-15,1.05013,1.218667e-16,1.623333e-17
diode,dalg,ss,125,full,0.0,3.3,9,1.38166e-13,1.41654e-13,1.464930e-13,1.381660e-13,1.06027,1.784000e-14,1.933333e-16
diode,dalg,ss,125,core,0.0,1.2,5,1.38166e-13,1.46493e-13,1.464930e-13,1.381660e-13,1.06027,1.784000e-14,1.933333e-16
diode,dpsm,ss,125,full,0.0,3.3,9,2.11572e-15,1.69143e-15,2.115720e-15,1.691430e-15,1.25085,-1.770667e-16,-8.413333e-17
diode,dpsm,ss,125,core,0.0,1.2,5,2.11572e-15,1.91925e-15,2.115720e-15,1.919250e-15,1.10237,-1.770667e-16,-1.533333e-16
diode,dplg,ss,125,full,0.0,3.3,9,1.86942e-13,1.51160e-13,1.869420e-13,1.511600e-13,1.23672,-1.421333e-14,-7.720000e-15
diode,dplg,ss,125,core,0.0,1.2,5,1.86942e-13,1.71771e-13,1.869420e-13,1.717710e-13,1.08832,-1.421333e-14,-8.976667e-15
diode,dasm,ff,-40,full,0.0,3.3,9,1.56577e-15,1.53376e-15,1.589900e-15,1.533760e-15,1.0366,6.136667e-17,-2.566667e-18
diode,dasm,ff,-40,core,0.0,1.2,5,1.56577e-15,1.58480e-15,1.589900e-15,1.565770e-15,1.01541,6.136667e-17,-2.566667e-18
diode,dalg,ff,-40,full,0.0,3.3,9,1.43945e-13,1.40260e-13,1.464890e-13,1.402600e-13,1.04441,6.410000e-15,-1.500000e-16
diode,dalg,ff,-40,core,0.0,1.2,5,1.43945e-13,1.46028e-13,1.464890e-13,1.439450e-13,1.01767,6.410000e-15,-1.500000e-16
diode,dpsm,ff,-40,full,0.0,3.3,9,2.05934e-15,1.66281e-15,2.059340e-15,1.662810e-15,1.23847,-1.751667e-16,-7.790000e-17
diode,dpsm,ff,-40,core,0.0,1.2,5,2.05934e-15,1.87043e-15,2.059340e-15,1.870430e-15,1.101,-1.751667e-16,-1.375333e-16
diode,dplg,ff,-40,full,0.0,3.3,9,1.83596e-13,1.48376e-13,1.835960e-13,1.483760e-13,1.23737,-1.433000e-14,-7.176667e-15
