device_class,device_key,corner_label,temp_c,vctrl_v,status,srf_hz,c_1ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_5ghz,q_10ghz,q_20ghz
mos,small,tt,27,0.9,PASS,none,6.67939e-15,6.67813e-15,6.67411e-15,6.65808e-15,3.52904e+02,7.05811e+01,3.52906e+01,1.76453e+01
mos,mid,tt,27,0.9,PASS,none,6.65338e-14,6.36262e-14,5.59812e-14,3.78093e-14,2.28953e+01,4.57907e+00,2.28954e+00,1.14477e+00
mos,large,tt,27,0.9,PASS,none,3.24735e-13,1.11670e-13,3.66091e-14,9.92476e-15,3.40276e+00,6.80553e-01,3.40278e-01,1.70140e-01
mos,xlarge,tt,27,0.9,PASS,none,1.29894e-12,4.46682e-13,1.46436e-13,3.96990e-14,3.40276e+00,6.80553e-01,3.40278e-01,1.70140e-01
mos,small,tt,27,1.2,PASS,none,6.20529e-15,6.20429e-15,6.20107e-15,6.18825e-15,3.80366e+02,7.60733e+01,3.80367e+01,1.90183e+01
mos,mid,tt,27,1.2,PASS,none,6.09268e-14,5.86800e-14,5.26164e-14,3.72287e-14,2.50163e+01,5.00327e+00,2.50164e+00,1.25082e+00
mos,large,tt,27,1.2,PASS,none,2.98189e-13,1.15334e-13,3.95482e-14,1.08997e-14,3.76002e+00,7.52004e-01,3.76003e-01,1.88003e-01
mos,xlarge,tt,27,1.2,PASS,none,1.19276e-12,4.61336e-13,1.58193e-13,4.35986e-14,3.76002e+00,7.52004e-01,3.76003e-01,1.88003e-01
mos,small,tt,27,1.8,PASS,none,5.63107e-15,5.63033e-15,5.62793e-15,5.61838e-15,4.19891e+02,8.39788e+01,4.19895e+01,2.09947e+01
mos,mid,tt,27,1.8,PASS,none,5.41290e-14,5.25427e-14,4.81346e-14,3.60401e-14,2.81775e+01,5.63550e+00,2.81775e+00,1.40888e+00
mos,large,tt,27,1.8,PASS,none,2.64456e-13,1.18741e-13,4.36248e-14,1.23569e-14,4.30780e+00,8.61560e-01,4.30781e-01,2.15391e-01
mos,xlarge,tt,27,1.8,PASS,none,1.05783e-12,4.74963e-13,1.74499e-13,4.94274e-14,4.30780e+00,8.61560e-01,4.30781e-01,2.15391e-01
mos,small,tt,27,2.4,PASS,none,5.56731e-15,5.56659e-15,5.56428e-15,5.55505e-15,4.24789e+02,8.49583e+01,4.24792e+01,2.12396e+01
mos,mid,tt,27,2.4,PASS,none,5.33738e-14,5.18519e-14,4.76097e-14,3.58709e-14,2.85784e+01,5.71568e+00,2.85785e+00,1.42892e+00
mos,large,tt,27,2.4,PASS,none,2.60609e-13,1.19013e-13,4.41137e-14,1.25417e-14,4.37862e+00,8.75726e-01,4.37864e-01,2.18933e-01
mos,xlarge,tt,27,2.4,PASS,none,1.04244e-12,4.76053e-13,1.76455e-13,5.01669e-14,4.37862e+00,8.75726e-01,4.37864e-01,2.18933e-01
mos,small,tt,27,3.0,PASS,none,5.56808e-15,5.56736e-15,5.56505e-15,5.55581e-15,4.24730e+02,8.49464e+01,4.24732e+01,2.12366e+01
mos,mid,tt,27,3.0,PASS,none,5.33829e-14,5.18603e-14,4.76161e-14,3.58729e-14,2.85735e+01,5.71470e+00,2.85736e+00,1.42868e+00
mos,large,tt,27,3.0,PASS,none,2.60656e-13,1.19010e-13,4.41077e-14,1.25395e-14,4.37776e+00,8.75552e-01,4.37777e-01,2.18889e-01
mos,xlarge,tt,27,3.0,PASS,none,1.04262e-12,4.76041e-13,1.76431e-13,5.01579e-14,4.37776e+00,8.75552e-01,4.37777e-01,2.18889e-01
mos,small,tt,27,3.3,PASS,none,5.56971e-15,5.56899e-15,5.56668e-15,5.55744e-15,4.24604e+02,8.49210e+01,4.24606e+01,2.12302e+01
mos,mid,tt,27,3.3,PASS,none,5.34022e-14,5.18780e-14,4.76296e-14,3.58774e-14,2.85631e+01,5.71262e+00,2.85631e+00,1.42816e+00
mos,large,tt,27,3.3,PASS,none,2.60755e-13,1.19004e-13,4.40951e-14,1.25347e-14,4.37591e+00,8.75183e-01,4.37593e-01,2.18797e-01
mos,xlarge,tt,27,3.3,PASS,none,1.04302e-12,4.76014e-13,1.76381e-13,5.01387e-14,4.37591e+00,8.75183e-01,4.37593e-01,2.18797e-01
mos,small,tt,125,0.0,PASS,none,1.02326e-14,1.02281e-14,1.02140e-14,1.01580e-14,2.32937e+02,4.65875e+01,2.32938e+01,1.16469e+01
mos,mid,tt,125,0.0,PASS,none,1.08358e-13,9.66733e-14,7.23075e-14,3.60067e-14,1.40559e+01,2.81118e+00,1.40559e+00,7.02795e-01
mos,large,tt,125,0.0,PASS,none,4.82118e-13,8.25786e-14,2.30042e-14,5.92016e-15,1.99008e+00,3.98016e-01,1.99008e-01,9.95039e-02
mos,xlarge,tt,125,0.0,PASS,none,1.92847e-12,3.30314e-13,9.20166e-14,2.36806e-14,1.99008e+00,3.98016e-01,1.99008e-01,9.95039e-02
mos,small,tt,125,0.3,PASS,none,8.75732e-15,8.75449e-15,8.74559e-15,8.71017e-15,2.71422e+02,5.42846e+01,2.71424e+01,1.35712e+01
mos,mid,tt,125,0.3,PASS,none,9.10409e-14,8.38846e-14,6.73425e-14,3.76468e-14,1.67429e+01,3.34858e+00,1.67429e+00,8.37146e-01
mos,large,tt,125,0.3,PASS,none,4.25949e-13,9.38566e-14,2.73125e-14,7.12002e-15,2.40477e+00,4.80954e-01,2.40477e-01,1.20238e-01
mos,xlarge,tt,125,0.3,PASS,none,1.70380e-12,3.75426e-13,1.09250e-13,2.84801e-14,2.40477e+00,4.80954e-01,2.40477e-01,1.20238e-01
mos,small,tt,125,0.6,PASS,none,7.46332e-15,7.46156e-15,7.45598e-15,7.43374e-15,3.16536e+02,6.33076e+01,3.16538e+01,1.58269e+01
mos,mid,tt,125,0.6,PASS,none,7.57934e-14,7.15537e-14,6.09066e-14,3.81815e-14,2.01008e+01,4.02017e+00,2.01009e+00,1.00504e+00
mos,large,tt,125,0.6,PASS,none,3.65893e-13,1.04961e-13,3.25105e-14,8.64401e-15,2.94179e+00,5.88358e-01,2.94180e-01,1.47091e-01
mos,xlarge,tt,125,0.6,PASS,none,1.46357e-12,4.19845e-13,1.30042e-13,3.45760e-14,2.94179e+00,5.88358e-01,2.94180e-01,1.47091e-01
mos,small,tt,125,0.9,PASS,none,6.70310e-15,6.70182e-15,6.69777e-15,6.68159e-15,3.51910e+02,7.03822e+01,3.51911e+01,1.75955e+01
mos,mid,tt,125,0.9,PASS,none,6.68141e-14,6.38718e-14,5.61452e-14,3.78368e-14,2.28033e+01,4.56067e+00,2.28034e+00,1.14017e+00
mos,large,tt,125,0.9,PASS,none,3.26034e-13,1.11486e-13,3.64763e-14,9.88180e-15,3.38691e+00,6.77383e-01,3.38693e-01,1.69347e-01
mos,xlarge,tt,125,0.9,PASS,none,1.30413e-12,4.45944e-13,1.45905e-13,3.95272e-14,3.38691e+00,6.77383e-01,3.38693e-01,1.69347e-01
mos,small,tt,125,1.2,PASS,none,6.22231e-15,6.22130e-15,6.21806e-15,6.20515e-15,3.79573e+02,7.59151e+01,3.79576e+01,1.89788e+01
mos,mid,tt,125,1.2,PASS,none,6.11282e-14,5.88604e-14,5.27453e-14,3.72609e-14,2.49381e+01,4.98763e+00,2.49382e+00,1.24691e+00
mos,large,tt,125,1.2,PASS,none,2.99166e-13,1.15223e-13,3.94410e-14,1.08629e-14,3.74616e+00,7.49232e-01,3.74617e-01,1.87309e-01
mos,xlarge,tt,125,1.2,PASS,none,1.19666e-12,4.60891e-13,1.57764e-13,4.34517e-14,3.74616e+00,7.49232e-01,3.74617e-01,1.87309e-01
mos,small,tt,125,1.8,PASS,none,5.73436e-15,5.73358e-15,5.73105e-15,5.72097e-15,4.12449e+02,8.24899e+01,4.12450e+01,2.06225e+01
mos,mid,tt,125,1.8,PASS,none,5.53523e-14,5.36586e-14,4.89754e-14,3.63020e-14,2.75560e+01,5.51121e+00,2.75561e+00,1.37780e+00
mos,large,tt,125,1.8,PASS,none,2.70649e-13,1.18255e-13,4.28529e-14,1.20695e-14,4.19806e+00,8.39613e-01,4.19807e-01,2.09904e-01
mos,xlarge,tt,125,1.8,PASS,none,1.08260e-12,4.73022e-13,1.71412e-13,4.82782e-14,4.19806e+00,8.39613e-01,4.19807e-01,2.09904e-01
mos,small,tt,125,2.4,PASS,none,5.69046e-15,5.68969e-15,5.68722e-15,5.67737e-15,4.15684e+02,8.31375e+01,4.15688e+01,2.07844e+01
mos,mid,tt,125,2.4,PASS,none,5.48324e-14,5.31851e-14,4.86205e-14,3.61949e-14,2.78188e+01,5.56376e+00,2.78188e+00,1.39094e+00
mos,large,tt,125,2.4,PASS,none,2.68024e-13,1.18473e-13,4.31807e-14,1.21907e-14,4.24412e+00,8.48826e-01,4.24414e-01,2.12208e-01
mos,xlarge,tt,125,2.4,PASS,none,1.07210e-12,4.73892e-13,1.72723e-13,4.87629e-14,4.24413e+00,8.48826e-01,4.24414e-01,2.12208e-01
mos,small,tt,125,3.0,PASS,none,5.68282e-15,5.68206e-15,5.67960e-15,5.66979e-15,4.16254e+02,8.32513e+01,4.16257e+01,2.08128e+01
mos,mid,tt,125,3.0,PASS,none,5.47419e-14,5.31027e-14,4.85585e-14,3.61759e-14,2.78650e+01,5.57301e+00,2.78651e+00,1.39325e+00
mos,large,tt,125,3.0,PASS,none,2.67566e-13,1.18510e-13,4.32381e-14,1.22120e-14,4.25224e+00,8.50450e-01,4.25226e-01,2.12614e-01
mos,xlarge,tt,125,3.0,PASS,none,1.07027e-12,4.74039e-13,1.72952e-13,4.88482e-14,4.25224e+00,8.50450e-01,4.25226e-01,2.12614e-01
mos,small,tt,125,3.3,PASS,none,5.68110e-15,5.68034e-15,5.67788e-15,5.66808e-15,4.16382e+02,8.32771e+01,4.16386e+01,2.08193e+01
mos,mid,tt,125,3.3,PASS,none,5.47215e-14,5.30841e-14,4.85445e-14,3.61717e-14,2.78754e+01,5.57510e+00,2.78755e+00,1.39378e+00
mos,large,tt,125,3.3,PASS,none,2.67463e-13,1.18518e-13,4.32510e-14,1.22169e-14,4.25408e+00,8.50816e-01,4.25409e-01,2.12705e-01
mos,xlarge,tt,125,3.3,PASS,none,1.06985e-12,4.74072e-13,1.73004e-13,4.88674e-14,4.25408e+00,8.50816e-01,4.25409e-01,2.12705e-01
mos,small,ss,-40,0.0,PASS,none,1.03628e-14,1.03579e-14,1.03427e-14,1.02824e-14,2.25886e+02,4.51774e+01,2.25887e+01,1.12943e+01
mos,mid,ss,-40,0.0,PASS,none,1.09925e-13,9.76719e-14,7.24390e-14,3.56252e-14,1.37954e+01,2.75907e+00,1.37954e+00,6.89774e-01
mos,large,ss,-40,0.0,PASS,none,4.86402e-13,8.14359e-14,2.26100e-14,5.81328e-15,1.95607e+00,3.91215e-01,1.95609e-01,9.78064e-02
mos,xlarge,ss,-40,0.0,PASS,none,1.94561e-12,3.25744e-13,9.04401e-14,2.32531e-14,1.95607e+00,3.91215e-01,1.95609e-01,9.78064e-02
mos,small,ss,-40,0.3,PASS,none,8.64186e-15,8.63907e-15,8.63030e-15,8.59538e-15,2.71595e+02,5.43192e+01,2.71596e+01,1.35798e+01
mos,mid,ss,-40,0.3,PASS,none,8.97184e-14,8.28157e-14,6.67637e-14,3.76069e-14,1.69394e+01,3.38788e+00,1.69394e+00,8.46975e-01
mos,large,ss,-40,0.3,PASS,none,4.21107e-13,9.46187e-14,2.76435e-14,7.21511e-15,2.44036e+00,4.88072e-01,2.44037e-01,1.22020e-01
mos,xlarge,ss,-40,0.3,PASS,none,1.68443e-12,3.78475e-13,1.10574e-13,2.88605e-14,2.44036e+00,4.88072e-01,2.44037e-01,1.22020e-01
mos,small,ss,-40,0.6,PASS,none,7.33028e-15,7.32860e-15,7.32327e-15,7.30204e-15,3.21051e+02,6.42104e+01,3.21052e+01,1.60526e+01
mos,mid,ss,-40,0.6,PASS,none,7.42523e-14,7.02497e-14,6.01221e-14,3.81326e-14,2.04997e+01,4.09994e+00,2.04997e+00,1.02499e+00
mos,large,ss,-40,0.6,PASS,none,3.59343e-13,1.06044e-13,3.31099e-14,8.82680e-15,3.00791e+00,6.01584e-01,3.00793e-01,1.50398e-01
mos,xlarge,ss,-40,0.6,PASS,none,1.43737e-12,4.24175e-13,1.32440e-13,3.53072e-14,3.00791e+00,6.01584e-01,3.00793e-01,1.50398e-01
mos,small,ss,-40,0.9,PASS,none,6.61822e-15,6.61699e-15,6.61308e-15,6.59749e-15,3.56224e+02,7.12449e+01,3.56225e+01,1.78112e+01
mos,mid,ss,-40,0.9,PASS,none,6.58356e-14,6.30163e-14,5.55786e-14,3.77544e-14,2.31397e+01,4.62795e+00,2.31398e+00,1.15699e+00
mos,large,ss,-40,0.9,PASS,none,3.21569e-13,1.12142e-13,3.69475e-14,1.00343e-14,3.44257e+00,6.88516e-01,3.44259e-01,1.72131e-01
mos,xlarge,ss,-40,0.9,PASS,none,1.28628e-12,4.48569e-13,1.47790e-13,4.01372e-14,3.44257e+00,6.88516e-01,3.44259e-01,1.72131e-01
mos,small,ss,-40,1.2,PASS,none,6.16090e-15,6.15992e-15,6.15677e-15,6.14422e-15,3.83155e+02,7.66312e+01,3.83156e+01,1.91578e+01
mos,mid,ss,-40,1.2,PASS,none,6.04236e-14,5.82308e-14,5.22997e-14,3.71600e-14,2.52259e+01,5.04519e+00,2.52260e+00,1.26130e+00
mos,large,ss,-40,1.2,PASS,none,2.95818e-13,1.15625e-13,3.98222e-14,1.09935e-14,3.79475e+00,7.58951e-01,3.79477e-01,1.89739e-01
mos,xlarge,ss,-40,1.2,PASS,none,1.18327e-12,4.62499e-13,1.59289e-13,4.39738e-14,3.79475e+00,7.58951e-01,3.79477e-01,1.89739e-01
mos,small,ss,-40,1.8,PASS,none,5.58742e-15,5.58670e-15,5.58436e-15,5.57503e-15,4.23232e+02,8.46467e+01,4.23234e+01,2.11617e+01
mos,mid,ss,-40,1.8,PASS,none,5.36305e-14,5.20869e-14,4.77887e-14,3.59293e-14,2.84408e+01,5.68817e+00,2.84409e+00,1.42204e+00
mos,large,ss,-40,1.8,PASS,none,2.61979e-13,1.18919e-13,4.39391e-14,1.24754e-14,4.35318e+00,8.70637e-01,4.35320e-01,2.17661e-01
mos,xlarge,ss,-40,1.8,PASS,none,1.04792e-12,4.75677e-13,1.75756e-13,4.99016e-14,4.35318e+00,8.70637e-01,4.35320e-01,2.17661e-01
mos,small,ss,-40,2.4,PASS,none,5.46427e-15,5.46360e-15,5.46141e-15,5.45269e-15,4.32947e+02,8.65898e+01,4.32950e+01,2.16474e+01
mos,mid,ss,-40,2.4,PASS,none,5.21708e-14,5.07480e-14,4.67627e-14,3.55847e-14,2.92410e+01,5.84821e+00,2.92411e+00,1.46205e+00
mos,large,ss,-40,2.4,PASS,none,2.54500e-13,1.19388e-13,4.48995e-14,1.28443e-14,4.49523e+00,8.99047e-01,4.49525e-01,2.24763e-01
mos,xlarge,ss,-40,2.4,PASS,none,1.01800e-12,4.77554e-13,1.79598e-13,5.13771e-14,4.49523e+00,8.99047e-01,4.49525e-01,2.24763e-01
