f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
5600000000,9.41239e-11,9.43602e-11,6.71328,6.64829,0.493325,0.499398,3.31183,3.32014
5650000000,9.4087e-11,9.43199e-11,6.74401,6.67644,0.495267,0.501518,3.34009,3.34836
5700000000,9.40503e-11,9.42797e-11,6.77455,6.70441,0.497204,0.503631,3.36833,3.37655
5750000000,9.4014e-11,9.42398e-11,6.80484,6.73219,0.49914,0.505738,3.39657,3.40472
5800000000,9.39781e-11,9.42001e-11,6.83488,6.75979,0.501076,0.507839,3.42479,3.43288
5850000000,9.39424e-11,9.41606e-11,6.86476,6.78722,0.503005,0.509933,3.45301,3.46103
5900000000,9.39071e-11,9.41213e-11,6.89437,6.81448,0.504935,0.51202,3.48121,3.48915
5950000000,9.38721e-11,9.40823e-11,6.92377,6.84158,0.506863,0.514101,3.5094,3.51726
6000000000,9.38374e-11,9.40435e-11,6.95296,6.86852,0.508789,0.516175,3.53759,3.54536
6050000000,9.38031e-11,9.40049e-11,6.98195,6.89531,0.510711,0.518241,3.56576,3.57343
6100000000,9.3769e-11,9.39666e-11,7.01072,6.92195,0.512633,0.520301,3.59392,3.6015
6150000000,9.37352e-11,9.39284e-11,7.0393,6.94844,0.514551,0.522354,3.62208,3.62954
6200000000,9.37017e-11,9.38906e-11,7.06763,6.9748,0.51647,0.524399,3.65022,3.65758
6250000000,9.36686e-11,9.38529e-11,7.09583,7.00102,0.518383,0.526437,3.67836,3.6856
6300000000,9.36357e-11,9.38155e-11,7.12379,7.02711,0.520296,0.528468,3.70648,3.7136
6350000000,9.36031e-11,9.37784e-11,7.15156,7.05307,0.522207,0.530491,3.7346,3.74159
6400000000,9.35707e-11,9.37415e-11,7.17914,7.07891,0.524116,0.532507,3.7627,3.76957
6450000000,9.35386e-11,9.37048e-11,7.20658,7.10462,0.526019,0.534516,3.7908,3.79753
6500000000,9.35068e-11,9.36684e-11,7.23381,7.13022,0.527922,0.536516,3.81889,3.82548
6550000000,9.34753e-11,9.36322e-11,7.26086,7.15571,0.529822,0.53851,3.84696,3.85342
6600000000,9.34441e-11,9.35963e-11,7.28772,7.18109,0.531721,0.540495,3.87503,3.88135
6650000000,9.3413e-11,9.35606e-11,7.31438,7.20636,0.533619,0.542473,3.90309,3.90926
6700000000,9.33823e-11,9.35251e-11,7.34091,7.23153,0.535512,0.544444,3.93115,3.93716
6750000000,9.33518e-11,9.34899e-11,7.36722,7.25659,0.537406,0.546406,3.95919,3.96505
6800000000,9.33215e-11,9.3455e-11,7.39338,7.28156,0.539296,0.548361,3.98722,3.99292
