f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
1300000000,5.18047e-09,5.16923e-09,5.67199,5.60506,7.46031,7.53301,42.3148,42.223
1350000000,5.19141e-09,5.17935e-09,5.85631,5.77918,7.51926,7.60191,44.0351,43.9328
1400000000,5.20277e-09,5.1899e-09,6.03648,5.94917,7.58157,7.6738,45.766,45.6527
1450000000,5.21456e-09,5.20088e-09,6.21233,6.11498,7.64734,7.74871,47.5079,47.3832
1500000000,5.22677e-09,5.21229e-09,6.38372,6.27654,7.71669,7.82671,49.2612,49.1247
1550000000,5.23941e-09,5.22415e-09,6.55046,6.43382,7.78973,7.90785,51.0263,50.8776
1600000000,5.25249e-09,5.23645e-09,6.71243,6.58677,7.86656,7.99217,52.8038,52.6426
1650000000,5.266e-09,5.24921e-09,6.86948,6.73535,7.94732,8.07975,54.5939,54.4199
1700000000,5.27994e-09,5.26244e-09,7.02148,6.87955,8.0321,8.17063,56.3973,56.2103
1750000000,5.29433e-09,5.27613e-09,7.16833,7.01934,8.12104,8.26488,58.2142,58.014
1800000000,5.30917e-09,5.29029e-09,7.3099,7.15471,8.21424,8.36258,60.0453,59.8318
1850000000,5.32446e-09,5.30494e-09,7.44613,7.28563,8.31182,8.46379,61.8909,61.6641
1900000000,5.3402e-09,5.32009e-09,7.57693,7.41212,8.4139,8.56859,63.7516,63.5115
1950000000,5.3564e-09,5.33573e-09,7.70224,7.53417,8.52061,8.67706,65.6278,65.3745
2000000000,5.37307e-09,5.35188e-09,7.82201,7.65178,8.63206,8.78929,67.52,67.2537
2050000000,5.39021e-09,5.36855e-09,7.9362,7.76496,8.74837,8.90535,69.4288,69.1497
2100000000,5.40784e-09,5.38574e-09,8.0448,7.87373,8.86967,9.02534,71.3547,71.0632
2150000000,5.42594e-09,5.40347e-09,8.1478,7.97811,8.99607,9.14937,73.2982,72.9946
2200000000,5.44454e-09,5.42174e-09,8.24521,8.0781,9.12772,9.27752,75.26,74.9448
2250000000,5.46365e-09,5.44058e-09,8.33705,8.17375,9.26473,9.40992,77.2405,76.9143
2300000000,5.48326e-09,5.45997e-09,8.42335,8.26507,9.40722,9.54666,79.2404,78.9039
2350000000,5.50339e-09,5.47995e-09,8.50417,8.3521,9.55534,9.68788,81.2602,80.9141
2400000000,5.52405e-09,5.50052e-09,8.57956,8.43486,9.7092,9.83369,83.3007,82.9458
2450000000,5.54525e-09,5.52168e-09,8.6496,8.5134,9.86896,9.98422,85.3625,84.9997
2500000000,5.567e-09,5.54346e-09,8.71436,8.58776,10.0347,10.1396,87.4462,87.0765
2550000000,5.58931e-09,5.56587e-09,8.77392,8.65796,10.2067,10.3,89.5526,89.1771
2600000000,5.61219e-09,5.58892e-09,8.8284,8.72406,10.3849,10.4656,91.6823,91.3022
2650000000,5.63566e-09,5.61263e-09,8.8779,8.78609,10.5696,10.6364,93.8362,93.4527
2700000000,5.65973e-09,5.637e-09,8.92255,8.84411,10.7609,10.8128,96.0151,95.6294
2750000000,5.68441e-09,5.66206e-09,8.96243,8.89815,10.959,10.9948,98.2196,97.8333
2800000000,5.70972e-09,5.68782e-09,8.9977,8.94827,11.164,11.1826,100.451,100.065
2850000000,5.73568e-09,5.71429e-09,9.02847,8.9945,11.3762,11.3765,102.709,102.326
2900000000,5.7623e-09,5.7415e-09,9.05487,9.03691,11.5955,11.5767,104.996,104.617
2950000000,5.78959e-09,5.76946e-09,9.07705,9.07554,11.8224,11.7832,107.312,106.939
3000000000,5.81758e-09,5.79819e-09,9.09513,9.11044,12.0569,11.9965,109.659,109.293
3050000000,5.84629e-09,5.82771e-09,9.10924,9.14165,12.2992,12.2167,112.037,111.681
3100000000,5.87574e-09,5.85804e-09,9.11953,9.16924,12.5496,12.444,114.447,114.102
3150000000,5.90594e-09,5.8892e-09,9.12612,9.19324,12.8083,12.6788,116.89,116.559
3200000000,5.93692e-09,5.92121e-09,9.12915,9.21372,13.0756,12.9213,119.369,119.053
3250000000,5.9687e-09,5.9541e-09,9.12875,9.23072,13.3515,13.1717,121.883,121.585
3300000000,6.00131e-09,5.98788e-09,9.12504,9.24429,13.6366,13.4305,124.434,124.156
3350000000,6.03477e-09,6.02259e-09,9.11815,9.25448,13.9309,13.6979,127.024,126.767
3400000000,6.06911e-09,6.05824e-09,9.10821,9.26135,14.2348,13.9743,129.653,129.421
3450000000,6.10435e-09,6.09487e-09,9.0953,9.26494,14.5486,14.2601,132.324,132.119
3500000000,6.14053e-09,6.13251e-09,9.07956,9.2653,14.8727,14.5555,135.037,134.861
3550000000,6.17768e-09,6.17118e-09,9.06109,9.26248,15.2073,14.861,137.795,137.65
3600000000,6.21582e-09,6.21091e-09,9.03998,9.25653,15.553,15.1771,140.599,140.487
3650000000,6.255e-09,6.25173e-09,9.01635,9.24749,15.91,15.5042,143.45,143.375
3700000000,6.29524e-09,6.29368e-09,8.99026,9.23542,16.2788,15.8427,146.35,146.314
3750000000,6.33658e-09,6.3368e-09,8.96181,9.22036,16.6598,16.1932,149.302,149.307
3800000000,6.37907e-09,6.38111e-09,8.93107,9.20236,17.0536,16.5562,152.307,152.356
3850000000,6.42274e-09,6.42666e-09,8.89813,9.18146,17.4607,16.9322,155.368,155.463
3900000000,6.46763e-09,6.47349e-09,8.86303,9.15771,17.8816,17.3219,158.486,158.629
3950000000,6.51379e-09,6.52163e-09,8.82586,9.13114,18.317,17.7259,161.663,161.858
4000000000,6.56126e-09,6.57114e-09,8.78667,9.10182,18.7673,18.1448,164.902,165.151
4050000000,6.61009e-09,6.62205e-09,8.7455,9.06976,19.2335,18.5794,168.206,168.511
4100000000,6.66034e-09,6.67442e-09,8.70239,9.03503,19.7161,19.0304,171.577,171.94
4150000000,6.71205e-09,6.72829e-09,8.65739,8.99766,20.216,19.4986,175.018,175.442
4200000000,6.76529e-09,6.78372e-09,8.61054,8.9577,20.7341,19.9849,178.532,179.018
4250000000,6.8201e-09,6.84077e-09,8.56187,8.91517,21.2712,20.4901,182.121,182.673
4300000000,6.87656e-09,6.89948e-09,8.51138,8.87012,21.8283,21.0153,185.789,186.408
4350000000,6.93472e-09,6.95993e-09,8.45913,8.82259,22.4064,21.5614,189.539,190.228
4400000000,6.99466e-09,7.02218e-09,8.4051,8.77262,23.0068,22.1297,193.374,194.135
4450000000,7.05644e-09,7.08629e-09,8.34932,8.72025,23.6306,22.7211,197.299,198.134
4500000000,7.12015e-09,7.15233e-09,8.29181,8.6655,24.2791,23.3371,201.317,202.227
4550000000,7.18585e-09,7.22039e-09,8.23255,8.60842,24.9537,23.9789,205.433,206.42
4600000000,7.25364e-09,7.29053e-09,8.17156,8.54904,25.656,24.6479,209.65,210.716
4650000000,7.32361e-09,7.36285e-09,8.10884,8.48739,26.3876,25.3457,213.972,215.119
4700000000,7.39584e-09,7.43743e-09,8.04438,8.42351,27.1502,26.074,218.406,219.635
4750000000,7.47043e-09,7.51436e-09,7.97817,8.35744,27.9457,26.8344,222.956,224.267
4800000000,7.54749e-09,7.59375e-09,7.91022,8.2892,28.7763,27.629,227.627,229.022
4850000000,7.62712e-09,7.67569e-09,7.84051,8.21883,29.6441,28.4596,232.425,233.905
4900000000,7.70945e-09,7.7603e-09,7.76904,8.14635,30.5515,29.3286,237.356,238.921
4950000000,7.7946e-09,7.84769e-09,7.69578,8.0718,31.5011,30.2382,242.426,244.077
5000000000,7.88269e-09,7.93799e-09,7.62072,7.99521,32.4959,31.1911,247.642,249.379
5050000000,7.97387e-09,8.03132e-09,7.54386,7.91661,33.5387,32.1899,253.011,254.834
5100000000,8.06827e-09,8.12783e-09,7.46518,7.83602,34.633,33.2376,258.542,260.45
5150000000,8.16607e-09,8.22767e-09,7.38467,7.75347,35.7824,34.3374,264.241,266.234
5200000000,8.26742e-09,8.33099e-09,7.3023,7.669,36.9908,35.4928,270.118,272.195
5250000000,8.37249e-09,8.43796e-09,7.21809,7.58263,38.2624,36.7076,276.181,278.341
5300000000,8.48149e-09,8.54876e-09,7.13199,7.49439,39.602,37.9859,282.441,284.681
5350000000,8.59461e-09,8.66357e-09,7.04401,7.4043,41.0147,39.3321,288.908,291.226
5400000000,8.71206e-09,8.78261e-09,6.95415,7.31238,42.506,40.751,295.593,297.987
5450000000,8.83407e-09,8.90609e-09,6.86238,7.21867,44.0821,42.248,302.508,304.974
5500000000,8.9609e-09,9.03424e-09,6.76872,7.12319,45.7496,43.8288,309.666,312.201
5550000000,9.09279e-09,9.16731e-09,6.67315,7.02597,47.5159,45.4997,317.081,319.68
5600000000,9.23004e-09,9.30557e-09,6.57567,6.92702,49.3892,47.2678,324.767,327.424
5650000000,9.37295e-09,9.44931e-09,6.47627,6.82637,51.3783,49.1404,332.74,335.45
5700000000,9.52184e-09,9.59883e-09,6.37497,6.72404,53.4931,51.1261,341.017,343.774
5750000000,9.67707e-09,9.75445e-09,6.27177,6.62006,55.7444,53.2339,349.616,352.412
5800000000,9.83901e-09,9.91655e-09,6.16667,6.51445,58.1445,55.4741,358.558,361.384
5850000000,1.00081e-08,1.00855e-08,6.05968,6.40724,60.7066,57.8579,367.863,370.709
5900000000,1.01847e-08,1.02617e-08,5.95084,6.29843,63.4456,60.3976,377.554,380.41
5950000000,1.03693e-08,1.04457e-08,5.84013,6.18806,66.3782,63.107,387.657,390.51
6000000000,1.05625e-08,1.06378e-08,5.72759,6.07615,69.5228,66.0016,398.198,401.035
6050000000,1.07648e-08,1.08387e-08,5.61324,5.96271,72.9002,69.0982,409.207,412.013
6100000000,1.09769e-08,1.10488e-08,5.4971,5.84777,76.534,72.4161,420.715,423.473
6150000000,1.11993e-08,1.12689e-08,5.3792,5.73135,80.4502,75.9765,432.757,435.448
6200000000,1.14328e-08,1.14996e-08,5.25958,5.61346,84.6782,79.8035,445.372,447.974
6250000000,1.16781e-08,1.17416e-08,5.13826,5.49413,89.2518,83.9241,458.599,461.09
6300000000,1.19362e-08,1.19957e-08,5.01528,5.37337,94.209,88.3687,472.484,474.838
6350000000,1.2208e-08,1.22628e-08,4.89068,5.25121,99.5927,93.1717,487.076,489.264
6400000000,1.24944e-08,1.25439e-08,4.7645,5.12766,105.453,98.3724,502.429,504.42
6450000000,1.27966e-08,1.284e-08,4.63679,5.00274,111.845,104.015,518.602,520.361
6500000000,1.31158e-08,1.31523e-08,4.50759,4.87647,118.835,110.151,535.659,537.148
6550000000,1.34533e-08,1.3482e-08,4.37695,4.74886,126.497,116.838,553.671,554.849
6600000000,1.38107e-08,1.38305e-08,4.24493,4.61994,134.918,124.144,572.716,573.538
6650000000,1.41894e-08,1.41994e-08,4.11155,4.48972,144.198,132.146,592.879,593.297
6700000000,1.45913e-08,1.45904e-08,3.97689,4.35822,154.456,140.933,614.255,614.217
6750000000,1.50182e-08,1.50053e-08,3.841,4.22546,165.828,150.61,636.946,636.397
6800000000,1.54723e-08,1.54462e-08,3.70395,4.09144,178.476,161.3,661.065,659.948
6850000000,1.59558e-08,1.59153e-08,3.56576,3.9562,192.592,173.144,686.735,684.993
6900000000,1.64712e-08,1.64153e-08,3.42651,3.81974,208.402,186.313,714.091,711.668
6950000000,1.7021e-08,1.69488e-08,3.28628,3.68208,226.176,201.006,743.276,740.121
7000000000,1.76081e-08,1.75189e-08,3.14508,3.54324,246.241,217.462,774.446,770.52
7050000000,1.82354e-08,1.81289e-08,3.003,3.40322,268.986,235.966,807.764,803.046
7100000000,1.89058e-08,1.87825e-08,2.86009,3.26206,294.885,256.861,843.398,837.898
7150000000,1.9622e-08,1.94835e-08,2.71641,3.11976,324.514,280.564,881.516,875.293
7200000000,2.03867e-08,2.02362e-08,2.57202,2.97634,358.579,307.581,922.274,915.465
7250000000,2.12017e-08,2.10448e-08,2.42697,2.83181,397.945,338.532,965.801,958.658
7300000000,2.20674e-08,2.19137e-08,2.28132,2.68618,443.677,374.183,1012.17,1005.12
7350000000,2.29825e-08,2.2847e-08,2.13514,2.53948,497.094,415.481,1061.36,1055.1
7400000000,2.39418e-08,2.38478e-08,1.98845,2.39171,559.827,463.608,1113.19,1108.82
7450000000,2.49349e-08,2.4918e-08,1.84134,2.24289,633.885,520.044,1167.2,1166.4
7500000000,2.59424e-08,2.60565e-08,1.69384,2.09304,721.737,586.65,1222.51,1227.88
7550000000,2.69312e-08,2.72574e-08,1.546,1.94217,826.365,665.771,1277.56,1293.04
7600000000,2.78474e-08,2.85066e-08,1.39789,1.79028,951.275,760.356,1329.77,1361.25
7650000000,2.86057e-08,2.97763e-08,1.24953,1.6374,1100.39,874.091,1374.97,1431.24
7700000000,2.90758e-08,3.10169e-08,1.10098,1.48354,1277.68,1011.51,1406.7,1500.61
7750000000,2.90657e-08,3.2144e-08,0.952286,1.32871,1486.26,1178.02,1415.35,1565.24
7800000000,2.83083e-08,3.30192e-08,0.803488,1.17292,1726.67,1379.66,1387.36,1618.23
7850000000,2.64637e-08,3.3424e-08,0.654624,1.01619,1993.92,1622.3,1305.27,1648.57
7900000000,2.31645e-08,3.30309e-08,0.505735,0.858533,2273.56,1909.72,1149.82,1639.56
7950000000,1.81331e-08,3.13843e-08,0.356856,0.699955,2538.2,2239.7,905.774,1567.69
8000000000,1.13749e-08,2.7932e-08,0.208024,0.540472,2748.56,2597.76,571.767,1404.01
8050000000,3.3552e-09,2.21678e-08,0.0592706,0.380096,2863.22,2949.89,169.705,1121.24
8100000000,-5.01517e-09,1.39329e-08,-0.0893718,0.218838,2855.95,3240.29,-255.241,709.1
8150000000,-1.26793e-08,3.7697e-09,-0.237874,0.0567123,2729.52,3403.83,-649.283,193.039
8200000000,-1.88443e-08,-7.00393e-09,-0.386207,-0.106271,2513.93,3395.64,-970.899,-360.858
8250000000,-2.32028e-08,-1.67695e-08,-0.534345,-0.2701,2250.88,3218.32,-1202.75,-869.267
8300000000,-2.58705e-08,-2.43446e-08,-0.682262,-0.434762,1977.48,2920.17,-1349.16,-1269.58
8350000000,-2.71842e-08,-2.93622e-08,-0.829937,-0.600247,1718.45,2566.41,-1426.21,-1540.48
8400000000,-2.75229e-08,-3.21098e-08,-0.977345,-0.766542,1486.3,2210.85,-1452.62,-1694.71
8450000000,-2.72142e-08,-3.3153e-08,-1.12447,-0.933638,1284.95,1885.3,-1444.88,-1760.19
8500000000,-2.65053e-08,-3.30558e-08,-1.27128,-1.10152,1113.5,1602.7,-1415.57,-1765.41
8550000000,-2.55688e-08,-3.2262e-08,-1.41777,-1.27018,968.833,1364.49,-1373.59,-1733.15
8600000000,-2.45193e-08,-3.10809e-08,-1.56392,-1.43961,847.171,1166.61,-1324.91,-1679.47
8650000000,-2.34299e-08,-2.97129e-08,-1.70971,-1.6098,744.807,1003.16,-1273.4,-1614.88
8700000000,-2.23457e-08,-2.82812e-08,-1.85512,-1.78073,658.444,868.16,-1221.5,-1545.96
8750000000,-2.12932e-08,-2.68588e-08,-2.00015,-1.95239,585.285,756.322,-1170.66,-1476.64
8800000000,-2.02874e-08,-2.54862e-08,-2.14476,-2.12478,523.009,663.212,-1121.73,-1409.18
8850000000,-1.93354e-08,-2.41845e-08,-2.28896,-2.29789,469.718,585.235,-1075.17,-1344.81
8900000000,-1.84398e-08,-2.29628e-08,-2.43273,-2.4717,423.871,519.516,-1031.16,-1284.09
8950000000,-1.76005e-08,-2.18233e-08,-2.57604,-2.6462,384.216,463.767,-989.756,-1227.22
9000000000,-1.68156e-08,-2.07641e-08,-2.7189,-2.82139,349.737,416.172,-950.9,-1174.18
9050000000,-1.60823e-08,-1.97814e-08,-2.86128,-2.99725,319.607,375.285,-914.485,-1124.82
9100000000,-1.53974e-08,-1.88701e-08,-3.00317,-3.17378,293.149,339.952,-880.377,-1078.93
9150000000,-1.47575e-08,-1.80248e-08,-3.14456,-3.35097,269.808,309.245,-848.428,-1036.27
9200000000,-1.41594e-08,-1.72403e-08,-3.28543,-3.5288,249.127,282.414,-818.488,-996.581
9250000000,-1.35998e-08,-1.65114e-08,-3.42577,-3.70726,230.725,258.852,-790.41,-959.632
9300000000,-1.30756e-08,-1.58332e-08,-3.56556,-3.88636,214.287,238.061,-764.053,-925.192
9350000000,-1.25841e-08,-1.52014e-08,-3.70478,-4.06607,199.549,219.634,-739.285,-893.047
9400000000,-1.21226e-08,-1.46118e-08,-3.84345,-4.24639,186.287,203.232,-715.983,-863.001
9450000000,-1.16888e-08,-1.40608e-08,-3.98149,-4.42731,174.315,188.574,-694.034,-834.877
9500000000,-1.12805e-08,-1.35451e-08,-4.11894,-4.60883,163.473,175.426,-673.333,-808.51
9550000000,-1.08956e-08,-1.30616e-08,-4.25576,-4.79092,153.624,163.591,-653.786,-783.754
9600000000,-1.05325e-08,-1.26076e-08,-4.39192,-4.97359,144.653,152.902,-635.303,-760.474
9650000000,-1.01893e-08,-1.21807e-08,-4.5274,-5.15683,136.459,143.218,-617.807,-738.552
9700000000,-9.86471e-09,-1.17787e-08,-4.66221,-5.34062,128.957,134.418,-601.223,-717.877
9750000000,-9.55724e-09,-1.13996e-08,-4.7963,-5.52497,122.07,126.399,-585.486,-698.352
9800000000,-9.26567e-09,-1.10416e-08,-4.92964,-5.70985,115.736,119.073,-570.536,-679.887
9850000000,-8.98887e-09,-1.0703e-08,-5.06225,-5.89527,109.895,112.361,-556.315,-662.401
9900000000,-8.7258e-09,-1.03824e-08,-5.19406,-6.08121,104.499,106.2,-542.775,-645.821
9950000000,-8.4755e-09,-1.00785e-08,-5.32507,-6.26767,99.5045,100.529,-529.869,-630.082
1e+10,-8.23712e-09,-9.78996e-09,-5.45526,-6.45463,94.8724,95.2992,-517.553,-615.121
1.005e+10,-8.00986e-09,-9.51581e-09,-5.58458,-6.6421,90.5692,90.4662,-505.791,-600.886
1.01e+10,-7.79298e-09,-9.255e-09,-5.71301,-6.83006,86.5646,85.991,-494.544,-587.324
1.015e+10,-7.58584e-09,-9.00662e-09,-5.84054,-7.01851,82.8316,81.8395,-483.782,-574.391
1.02e+10,-7.38779e-09,-8.76983e-09,-5.96712,-7.20744,79.3469,77.9813,-473.473,-562.045
1.025e+10,-7.1983e-09,-8.54386e-09,-6.09274,-7.39683,76.0888,74.3896,-463.59,-550.247
1.03e+10,-7.01683e-09,-8.32801e-09,-6.21736,-7.58669,73.0385,71.0405,-454.107,-538.963
1.035e+10,-6.8429e-09,-8.12165e-09,-6.34096,-7.77701,70.1787,67.9128,-445,-528.159
1.04e+10,-6.67607e-09,-7.92417e-09,-6.46349,-7.96778,67.4942,64.9875,-436.248,-517.806
1.045e+10,-6.51592e-09,-7.73504e-09,-6.58496,-8.15899,64.9709,62.2476,-427.831,-507.877
1.05e+10,-6.36209e-09,-7.55375e-09,-6.70531,-8.35063,62.5965,59.6777,-419.729,-498.347
1.055e+10,-6.21421e-09,-7.37984e-09,-6.82449,-8.54271,60.3598,57.2643,-411.925,-489.192
1.06e+10,-6.07195e-09,-7.21288e-09,-6.94252,-8.7352,58.2501,54.9948,-404.403,-480.391
1.065e+10,-5.93502e-09,-7.05247e-09,-7.05934,-8.92812,56.2584,52.858,-397.148,-471.923
1.07e+10,-5.80313e-09,-6.89825e-09,-7.17494,-9.12144,54.3761,50.844,-390.145,-463.77
1.075e+10,-5.67602e-09,-6.74988e-09,-7.28928,-9.31516,52.5954,48.9434,-383.382,-455.915
1.08e+10,-5.55343e-09,-6.60703e-09,-7.40232,-9.50928,50.9093,47.1479,-376.847,-448.343
1.085e+10,-5.43515e-09,-6.46942e-09,-7.51405,-9.70378,49.3113,45.45,-370.528,-441.037
1.09e+10,-5.32094e-09,-6.33676e-09,-7.62444,-9.89867,47.7955,43.8427,-364.414,-433.984
1.095e+10,-5.21063e-09,-6.20881e-09,-7.73347,-10.0939,46.3564,42.3196,-358.496,-427.172
1.1e+10,-5.10401e-09,-6.08533e-09,-7.84111,-10.2896,44.989,40.8751,-352.764,-420.588
1.105e+10,-5.0009e-09,-5.96608e-09,-7.94731,-10.4856,43.6888,39.5038,-347.209,-414.22
1.11e+10,-4.90116e-09,-5.85087e-09,-8.05209,-10.6819,42.4515,38.2008,-341.823,-408.059
1.115e+10,-4.8046e-09,-5.73949e-09,-8.15541,-10.8787,41.273,36.9618,-336.599,-402.094
1.12e+10,-4.71111e-09,-5.63177e-09,-8.25725,-11.0757,40.15,35.7825,-331.528,-396.317
1.125e+10,-4.62052e-09,-5.52752e-09,-8.35761,-11.2731,39.0788,34.6592,-326.605,-390.718
1.13e+10,-4.53272e-09,-5.4266e-09,-8.45643,-11.4709,38.0566,33.5885,-321.823,-385.288
1.135e+10,-4.44759e-09,-5.32884e-09,-8.55373,-11.6689,37.0804,32.567,-317.176,-380.022
1.14e+10,-4.365e-09,-5.23411e-09,-8.64948,-11.8673,36.1475,31.5918,-312.657,-374.911
1.145e+10,-4.28485e-09,-5.14227e-09,-8.74367,-12.066,35.2555,30.6603,-308.262,-369.948
1.15e+10,-4.20703e-09,-5.0532e-09,-8.83629,-12.2651,34.402,29.7697,-303.986,-365.127
1.155e+10,-4.13146e-09,-4.96677e-09,-8.92732,-12.4644,33.5849,28.9177,-299.823,-360.442
1.16e+10,-4.05803e-09,-4.88287e-09,-9.01676,-12.664,32.8022,28.1022,-295.769,-355.888
1.165e+10,-3.98666e-09,-4.80139e-09,-9.10463,-12.864,32.0518,27.3211,-291.82,-351.458
1.17e+10,-3.91727e-09,-4.72224e-09,-9.19087,-13.0642,31.3323,26.5724,-287.971,-347.148
1.175e+10,-3.84978e-09,-4.64532e-09,-9.27551,-13.2647,30.6419,25.8545,-284.219,-342.952
1.18e+10,-3.78411e-09,-4.57054e-09,-9.35856,-13.4655,29.979,25.1655,-280.56,-338.867
1.185e+10,-3.7202e-09,-4.49781e-09,-9.43999,-13.6666,29.3422,24.5041,-276.99,-334.888
1.19e+10,-3.65798e-09,-4.42706e-09,-9.51982,-13.868,28.7302,23.8688,-273.507,-331.011
1.195e+10,-3.59738e-09,-4.3582e-09,-9.59803,-14.0696,28.1418,23.2581,-270.106,-327.231
1.2e+10,-3.53834e-09,-4.29116e-09,-9.67465,-14.2715,27.5757,22.6709,-266.785,-323.546
1.205e+10,-3.48081e-09,-4.22588e-09,-9.74966,-14.4736,27.0307,22.1059,-263.541,-319.951
1.21e+10,-3.42473e-09,-4.16228e-09,-9.82311,-14.676,26.5059,21.562,-260.371,-316.444
1.215e+10,-3.37005e-09,-4.10031e-09,-9.89497,-14.8786,26.0003,21.0383,-257.272,-313.021
1.22e+10,-3.31672e-09,-4.03991e-09,-9.96524,-15.0815,25.513,20.5336,-254.243,-309.679
1.225e+10,-3.26469e-09,-3.98101e-09,-10.034,-15.2847,25.043,20.0472,-251.28,-306.414
1.23e+10,-3.21391e-09,-3.92357e-09,-10.1011,-15.488,24.5895,19.5781,-248.381,-303.226
1.235e+10,-3.16435e-09,-3.86753e-09,-10.1667,-15.6917,24.1518,19.1255,-245.545,-300.11
1.24e+10,-3.11596e-09,-3.81284e-09,-10.2308,-15.8955,23.7291,18.6886,-242.769,-297.064
1.245e+10,-3.0687e-09,-3.75946e-09,-10.2934,-16.0995,23.3208,18.2668,-240.051,-294.086
1.25e+10,-3.02253e-09,-3.70735e-09,-10.3545,-16.3038,22.9261,17.8593,-237.389,-291.174
1.255e+10,-2.97742e-09,-3.65645e-09,-10.4141,-16.5083,22.5445,17.4655,-234.781,-288.325
1.26e+10,-2.93333e-09,-3.60673e-09,-10.4722,-16.713,22.1754,17.0848,-232.226,-285.538
1.265e+10,-2.89023e-09,-3.55815e-09,-10.5289,-16.9179,21.8182,16.7166,-229.722,-282.81
1.27e+10,-2.84808e-09,-3.51067e-09,-10.5841,-17.123,21.4724,16.3603,-227.267,-280.139
1.275e+10,-2.80686e-09,-3.46426e-09,-10.638,-17.3284,21.1375,16.0156,-224.86,-277.524
1.28e+10,-2.76654e-09,-3.41887e-09,-10.6904,-17.5339,20.813,15.6818,-222.499,-274.962
1.285e+10,-2.72709e-09,-3.37449e-09,-10.7414,-17.7396,20.4985,15.3585,-220.182,-272.453
1.29e+10,-2.68848e-09,-3.33108e-09,-10.791,-17.9455,20.1936,15.0452,-217.91,-269.994
1.295e+10,-2.65068e-09,-3.2886e-09,-10.8393,-18.1516,19.8978,14.7417,-215.679,-267.584
1.3e+10,-2.61368e-09,-3.24703e-09,-10.8863,-18.3578,19.6108,14.4473,-213.489,-265.222
1.305e+10,-2.57744e-09,-3.20634e-09,-10.9319,-18.5643,19.3323,14.1619,-211.339,-262.906
1.31e+10,-2.54195e-09,-3.1665e-09,-10.9762,-18.7709,19.0619,13.885,-209.227,-260.634
1.315e+10,-2.50718e-09,-3.12749e-09,-11.0193,-18.9777,18.7992,13.6163,-207.153,-258.406
1.32e+10,-2.47311e-09,-3.08929e-09,-11.061,-19.1846,18.544,13.3555,-205.115,-256.22
1.325e+10,-2.43972e-09,-3.05186e-09,-11.1015,-19.3918,18.2959,13.1022,-203.112,-254.074
1.33e+10,-2.40699e-09,-3.01519e-09,-11.1407,-19.599,18.0548,12.8562,-201.143,-251.969
1.335e+10,-2.3749e-09,-2.97926e-09,-11.1787,-19.8065,17.8202,12.6172,-199.208,-249.902
