 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 3.18034453e+08  5.43073605e-13  1.67542182e+04  1.65896436e-12  5.48461406e+03  3.38221368e-12  2.69018475e+03  5.43094382e-13  3.00317591e+03  1.65920582e-12  1.15937072e+03  3.38349207e-12  5.32870376e+02  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  5.43073627e-13  1.59965095e+04  1.65896437e-12  5.23657239e+03  3.38221365e-12  2.56852113e+03  5.43096322e-13  2.86726583e+03  1.65922915e-12  1.10686866e+03  3.38361597e-12  5.08722013e+02  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  5.43073647e-13  1.52730678e+04  1.65896439e-12  4.99974838e+03  3.38221362e-12  2.45235974e+03  5.43098446e-13  2.73749796e+03  1.65925475e-12  1.05673772e+03  3.38375188e-12  4.85663433e+02  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  5.43073665e-13  1.45823433e+04  1.65896440e-12  4.77363476e+03  3.38221359e-12  2.34145176e+03  5.43100772e-13  2.61359429e+03  1.65928283e-12  1.00887052e+03  3.38390099e-12  4.63645243e+02  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  5.43073681e-13  1.39228573e+04  1.65896441e-12  4.55774709e+03  3.38221354e-12  2.23555958e+03  5.43103321e-13  2.49528942e+03  1.65931363e-12  9.63164517e+02  3.38406456e-12  4.42620276e+02  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  5.43073696e-13  1.32931961e+04  1.65896442e-12  4.35162298e+03  3.38221349e-12  2.13445638e+03  5.43106113e-13  2.38232992e+03  1.65934741e-12  9.19521802e+02  3.38424401e-12  4.22543496e+02  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  5.43073710e-13  1.26920114e+04  1.65896442e-12  4.15482081e+03  3.38221343e-12  2.03792558e+03  5.43109173e-13  2.27447381e+03  1.65938446e-12  8.77848889e+02  3.38444087e-12  4.03371895e+02  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  5.43073722e-13  1.21180158e+04  1.65896443e-12  3.96691903e+03  3.38221337e-12  1.94576037e+03  5.43112528e-13  2.17149004e+03  1.65942511e-12  8.38056508e+02  3.38465685e-12  3.85064409e+02  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  5.43073734e-13  1.15699783e+04  1.65896443e-12  3.78751509e+03  3.38221329e-12  1.85776334e+03  5.43116205e-13  2.07315802e+03  1.65946970e-12  8.00059423e+02  3.38489379e-12  3.67581820e+02  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  5.43073744e-13  1.10467260e+04  1.65896443e-12  3.61622469e+03  3.38221321e-12  1.77374598e+03  5.43120237e-13  1.97926710e+03  1.65951861e-12  7.63776239e+02  3.38515374e-12  3.50886682e+02  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  5.43073753e-13  1.05471381e+04  1.65896442e-12  3.45268091e+03  3.38221311e-12  1.69352830e+03  5.43124658e-13  1.88961616e+03  1.65957227e-12  7.29129236e+02  3.38543894e-12  3.34943234e+02  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  5.43073761e-13  1.00701438e+04  1.65896442e-12  3.29653339e+03  3.38221301e-12  1.61693847e+03  5.43129506e-13  1.80401316e+03  1.65963113e-12  6.96044199e+02  3.38575184e-12  3.19717326e+02  1.00070521e-09  1.65981022e+00 
