corner_label,mc_rsh,mc_rsub,temp_c,geometry,w_um,s_um,d_um,nr_r,status,srf_hz,l_1ghz_h,l_5ghz_h,l_10ghz_h,q_1ghz,q_5ghz,q_10ghz,qlow_1ghz,qlow_5ghz,qlow_10ghz
slo,1.0,0.75,27,p13,6.10,3.29,110.11,5,PASS,1.42576e+10,5.45690e-09,6.20331e-09,1.01547e-08,5.26514e+00,9.73594e+00,3.93630e+00,3.672266e+00,7.297106e+00,3.730127e+00
slo,1.0,0.75,27,p11,8.22,3.74,141.975,4,PASS,1.40651e+10,4.61123e-09,5.26396e-09,8.80826e-09,6.66767e+00,1.06088e+01,3.93409e+00,4.554021e+00,8.120421e+00,3.762923e+00
slo,1.0,0.75,125,p1,8.22,3.29,47.65,1,PASS,2.40088e+11,1.03764e-10,1.03650e-10,1.03351e-10,1.87829e+00,8.67722e+00,1.43366e+01,1.250323e+00,4.092906e+00,6.272515e+00
slo,1.0,0.75,125,p13,6.10,3.29,110.11,5,PASS,1.42412e+10,5.45295e-09,6.19543e-09,1.01320e-08,3.86122e+00,8.51324e+00,3.76168e+00,2.825351e+00,6.338570e+00,3.534501e+00
slo,1.0,0.75,125,p11,8.22,3.74,141.975,4,PASS,1.40518e+10,4.60873e-09,5.25891e-09,8.79376e-09,4.89905e+00,9.45239e+00,3.79426e+00,3.516962e+00,7.158616e+00,3.602093e+00
shi,1.0,1.25,-40,p1,8.22,3.29,47.65,1,PASS,2.40656e+11,1.03748e-10,1.03291e-10,1.02389e-10,3.42991e+00,1.36997e+01,1.90630e+01,2.018969e+00,5.983979e+00,8.779265e+00
shi,1.0,1.25,-40,p13,6.10,3.29,110.11,5,PASS,1.43452e+10,5.44956e-09,6.16393e-09,1.02894e-08,6.99847e+00,1.38643e+01,6.11070e+00,4.645228e+00,9.846385e+00,5.712045e+00
shi,1.0,1.25,-40,p11,8.22,3.74,141.975,4,PASS,1.41478e+10,4.60419e-09,5.22902e-09,8.93394e-09,8.84224e+00,1.53212e+01,6.18504e+00,5.738323e+00,1.110606e+01,5.845400e+00
shi,1.0,1.25,27,p1,8.22,3.29,47.65,1,PASS,2.40380e+11,1.03758e-10,1.03509e-10,1.02930e-10,2.56991e+00,1.11904e+01,1.69110e+01,1.609537e+00,5.009837e+00,7.503092e+00
shi,1.0,1.25,27,p13,6.10,3.29,110.11,5,PASS,1.43277e+10,5.44731e-09,6.16461e-09,1.03051e-08,5.26790e+00,1.22590e+01,5.83894e+00,3.671647e+00,8.612058e+00,5.402634e+00
shi,1.0,1.25,27,p11,8.22,3.74,141.975,4,PASS,1.41334e+10,4.60274e-09,5.22980e-09,8.94697e-09,6.67123e+00,1.37693e+01,5.96227e+00,4.553021e+00,9.832992e+00,5.583537e+00
shi,1.0,1.25,125,p1,8.22,3.29,47.65,1,PASS,2.40090e+11,1.03764e-10,1.03647e-10,1.03348e-10,1.87829e+00,8.68112e+00,1.43626e+01,1.250324e+00,4.093709e+00,6.277380e+00
shi,1.0,1.25,125,p13,6.10,3.29,110.11,5,PASS,1.43112e+10,5.44349e-09,6.16060e-09,1.03006e-08,3.86465e+00,1.04020e+01,5.47796e+00,2.825864e+00,7.317281e+00,5.016306e+00
shi,1.0,1.25,125,p11,8.22,3.74,141.975,4,PASS,1.41201e+10,4.60031e-09,5.22739e-09,8.94564e-09,4.90347e+00,1.19029e+01,5.66047e+00,3.517423e+00,8.466263e+00,5.249915e+00
rlo_slo,0.6818,0.75,-40,p1,8.22,3.29,47.65,1,PASS,2.40894e+11,1.03722e-10,1.02821e-10,1.01531e-10,4.96487e+00,1.68251e+01,2.19058e+01,2.679950e+00,7.438455e+00,1.065817e+01
rlo_slo,0.6818,0.75,-40,p13,6.10,3.29,110.11,5,PASS,1.42978e+10,5.46037e-09,6.19806e-09,1.01212e-08,9.25835e+00,1.15198e+01,4.18274e+00,5.921239e+00,9.088751e+00,4.030439e+00
rlo_slo,0.6818,0.75,-40,p11,8.22,3.74,141.975,4,PASS,1.40983e+10,4.61353e-09,5.25981e-09,8.78224e-09,1.19632e+01,1.22814e+01,4.13697e+00,7.405718e+00,9.904907e+00,4.013453e+00
rlo_slo,0.6818,0.75,27,p1,8.22,3.29,47.65,1,PASS,2.40710e+11,1.03744e-10,1.03205e-10,1.02203e-10,3.74142e+00,1.44480e+01,1.96557e+01,2.159348e+00,6.302098e+00,9.184876e+00
rlo_slo,0.6818,0.75,27,p13,6.10,3.29,110.11,5,PASS,1.42805e+10,5.45911e-09,6.20263e-09,1.01380e-08,7.00471e+00,1.06944e+01,4.06285e+00,4.712366e+00,8.244949e+00,3.890140e+00
rlo_slo,0.6818,0.75,27,p11,8.22,3.74,141.975,4,PASS,1.40839e+10,4.61276e-09,5.26349e-09,8.79641e-09,9.08365e+00,1.15678e+01,4.04392e+00,5.925196e+00,9.105831e+00,3.901960e+00
