f_hz,l_se_raw_h,q_se_raw,l_se_h,q_se,re_zse_ohm,im_zse_ohm,l_diff_h,q_diff,re_zdiff_ohm,im_zdiff_ohm
2500000000,5.57082e-09,8.71953,5.567e-09,8.71436,10.0347,87.4462,5.5174e-09,9.34534,9.27382,86.667
2550000000,5.59313e-09,8.77909,5.58931e-09,8.77392,10.2067,89.5526,5.53764e-09,9.43468,9.4041,88.7247
2600000000,5.61602e-09,8.83355,5.61219e-09,8.8284,10.3849,91.6823,5.55839e-09,9.51896,9.53922,90.8034
2650000000,5.63949e-09,8.88303,5.63566e-09,8.8779,10.5696,93.8362,5.57967e-09,9.59821,9.6793,92.9039
2700000000,5.66356e-09,8.92766,5.65973e-09,8.92255,10.7609,96.0151,5.60147e-09,9.67249,9.82444,95.0268
2750000000,5.68825e-09,8.96751,5.68441e-09,8.96243,10.959,98.2196,5.62382e-09,9.74183,9.97479,97.1727
2800000000,5.71356e-09,9.00275,5.70972e-09,8.9977,11.164,100.451,5.64673e-09,9.80634,10.1304,99.3425
2850000000,5.73952e-09,9.03349,5.73568e-09,9.02847,11.3762,102.709,5.6702e-09,9.86607,10.2915,101.537
2900000000,5.76614e-09,9.05986,5.7623e-09,9.05487,11.5955,104.996,5.69425e-09,9.92111,10.4581,103.756
2950000000,5.79344e-09,9.082,5.78959e-09,9.07705,11.8224,107.312,5.71889e-09,9.97156,10.6304,106.002
3000000000,5.82144e-09,9.10004,5.81758e-09,9.09513,12.0569,109.659,5.74413e-09,10.0175,10.8085,108.274
3050000000,5.85015e-09,9.11411,5.84629e-09,9.10924,12.2992,112.037,5.76999e-09,10.0591,10.9925,110.574
3100000000,5.8796e-09,9.12436,5.87574e-09,9.11953,12.5496,114.447,5.79649e-09,10.0963,11.1826,112.903
3150000000,5.9098e-09,9.13091,5.90594e-09,9.12612,12.8083,116.89,5.82363e-09,10.1294,11.3789,115.262
3200000000,5.94078e-09,9.13389,5.93692e-09,9.12915,13.0756,119.369,5.85145e-09,10.1585,11.5815,117.65
3250000000,5.97257e-09,9.13345,5.9687e-09,9.12875,13.3515,121.883,5.87994e-09,10.1836,11.7906,120.071
3300000000,6.00518e-09,9.12969,6.00131e-09,9.12504,13.6366,124.434,5.90914e-09,10.2049,12.0064,122.523
3350000000,6.03865e-09,9.12275,6.03477e-09,9.11815,13.9309,127.024,5.93906e-09,10.2225,12.2289,125.009
3400000000,6.07299e-09,9.11275,6.06911e-09,9.10821,14.2348,129.653,5.96973e-09,10.2365,12.4584,127.53
3450000000,6.10824e-09,9.09979,6.10435e-09,9.0953,14.5486,132.324,6.00115e-09,10.2471,12.695,130.087
3500000000,6.14442e-09,9.08399,6.14053e-09,9.07956,14.8727,135.037,6.03337e-09,10.2543,12.939,132.681
3550000000,6.18158e-09,9.06547,6.17768e-09,9.06109,15.2073,137.795,6.06639e-09,10.2584,13.1904,135.313
3600000000,6.21973e-09,9.04431,6.21582e-09,9.03998,15.553,140.599,6.10025e-09,10.2594,13.4496,137.984
3650000000,6.25891e-09,9.02061,6.255e-09,9.01635,15.91,143.45,6.13496e-09,10.2574,13.7167,140.697
3700000000,6.29915e-09,8.99447,6.29524e-09,8.99026,16.2788,146.35,6.17057e-09,10.2525,13.9919,143.452
3750000000,6.3405e-09,8.96595,6.33658e-09,8.96181,16.6598,149.302,6.20709e-09,10.2449,14.2755,146.251
3800000000,6.38299e-09,8.93516,6.37907e-09,8.93107,17.0536,152.307,6.24455e-09,10.2347,14.5677,149.096
3850000000,6.42667e-09,8.90215,6.42274e-09,8.89813,17.4607,155.368,6.28299e-09,10.2218,14.8689,151.987
3900000000,6.47156e-09,8.86699,6.46763e-09,8.86303,17.8816,158.486,6.32244e-09,10.2066,15.1792,154.928
3950000000,6.51773e-09,8.82976,6.51379e-09,8.82586,18.317,161.663,6.36294e-09,10.1889,15.4991,157.919
4000000000,6.56521e-09,8.7905,6.56126e-09,8.78667,18.7673,164.902,6.40451e-09,10.169,15.8288,160.963
