f_hz,l_se_raw_h,q_se_raw,l_se_h,q_se,re_zse_ohm,im_zse_ohm,l_diff_h,q_diff,re_zdiff_ohm,im_zdiff_ohm
3600000000,1.03411e-10,5.6502,9.59123e-11,5.2408,0.413961,2.16948,9.58983e-11,5.24284,0.413739,2.16917
3650000000,1.03359e-10,5.6981,9.58603e-11,5.28503,0.415972,2.19842,9.5846e-11,5.28714,0.415744,2.1981
3700000000,1.03308e-10,5.74549,9.58087e-11,5.32878,0.417983,2.22734,9.57939e-11,5.33096,0.417748,2.227
3750000000,1.03256e-10,5.79235,9.57574e-11,5.37203,0.419996,2.25623,9.57422e-11,5.37428,0.419753,2.25587
3800000000,1.03206e-10,5.83876,9.57064e-11,5.41487,0.422004,2.2851,9.56908e-11,5.41719,0.421754,2.28472
3850000000,1.03155e-10,5.88463,9.56557e-11,5.4572,0.424015,2.31394,9.56397e-11,5.4596,0.423758,2.31355
3900000000,1.03105e-10,5.93005,9.56054e-11,5.49912,0.426024,2.34276,9.5589e-11,5.5016,0.425759,2.34235
3950000000,1.03055e-10,5.97497,9.55555e-11,5.54057,0.428034,2.37155,9.55387e-11,5.54312,0.427762,2.37113
4000000000,1.03005e-10,6.01943,9.55059e-11,5.5816,0.430043,2.40032,9.54887e-11,5.58422,0.429763,2.39989
4050000000,1.02956e-10,6.06346,9.54566e-11,5.62222,0.432049,2.42908,9.5439e-11,5.62493,0.431762,2.42863
4100000000,1.02907e-10,6.10703,9.54078e-11,5.66242,0.434056,2.45781,9.53897e-11,5.66521,0.43376,2.45734
4150000000,1.02859e-10,6.15014,9.53593e-11,5.70218,0.436064,2.48652,9.53408e-11,5.70505,0.43576,2.48603
4200000000,1.02811e-10,6.19289,9.53112e-11,5.74162,0.438066,2.5152,9.52923e-11,5.74457,0.437753,2.5147
4250000000,1.02763e-10,6.23521,9.52635e-11,5.78065,0.440067,2.54387,9.52442e-11,5.78368,0.439747,2.54336
4300000000,1.02716e-10,6.27711,9.52162e-11,5.81929,0.442069,2.57252,9.51964e-11,5.82241,0.441739,2.57199
4350000000,1.02669e-10,6.31861,9.51693e-11,5.85755,0.444068,2.60115,9.51491e-11,5.86076,0.443731,2.6006
4400000000,1.02623e-10,6.35976,9.51228e-11,5.89549,0.446064,2.62977,9.51021e-11,5.89879,0.445717,2.62919
4450000000,1.02577e-10,6.4005,9.50767e-11,5.93306,0.448059,2.65836,9.50555e-11,5.93645,0.447703,2.65777
4500000000,1.02531e-10,6.44086,9.5031e-11,5.97027,0.450053,2.68694,9.50093e-11,5.97375,0.449688,2.68633
4550000000,1.02486e-10,6.48089,9.49856e-11,6.00717,0.452043,2.7155,9.49635e-11,6.01074,0.451669,2.71486
4600000000,1.02441e-10,6.52052,9.49407e-11,6.04371,0.454032,2.74404,9.49181e-11,6.04737,0.453649,2.74339
4650000000,1.02397e-10,6.55987,9.48962e-11,6.07997,0.456016,2.77256,9.48731e-11,6.08373,0.455624,2.77189
4700000000,1.02353e-10,6.59878,9.48521e-11,6.11583,0.458004,2.80107,9.48285e-11,6.11969,0.457601,2.80038
4750000000,1.02309e-10,6.63743,9.48083e-11,6.15145,0.459983,2.82957,9.47843e-11,6.15541,0.459571,2.82885
4800000000,1.02266e-10,6.67569,9.4765e-11,6.18671,0.461965,2.85805,9.47405e-11,6.19077,0.461543,2.85731
4850000000,1.02223e-10,6.71368,9.47221e-11,6.22172,0.46394,2.88651,9.46971e-11,6.22588,0.463508,2.88575
4900000000,1.0218e-10,6.75131,9.46795e-11,6.2564,0.465916,2.91496,9.46541e-11,6.26066,0.465474,2.91417
4950000000,1.02138e-10,6.78864,9.46374e-11,6.29079,0.467889,2.94339,9.46114e-11,6.29515,0.467436,2.94258
5000000000,1.02097e-10,6.82567,9.45956e-11,6.32491,0.469858,2.97181,9.45691e-11,6.32937,0.469395,2.97098
5050000000,1.02055e-10,6.86239,9.45543e-11,6.35874,0.471825,3.00021,9.45273e-11,6.36331,0.471352,2.99936
5100000000,1.02014e-10,6.89878,9.45133e-11,6.39226,0.473793,3.02861,9.44858e-11,6.39694,0.473308,3.02773
5150000000,1.01974e-10,6.93489,9.44727e-11,6.42552,0.475757,3.05699,9.44447e-11,6.43031,0.475262,3.05608
5200000000,1.01934e-10,6.97073,9.44325e-11,6.45853,0.477717,3.08535,9.44039e-11,6.46343,0.477211,3.08442
5250000000,1.01894e-10,7.00624,9.43926e-11,6.49124,0.479678,3.1137,9.43636e-11,6.49625,0.47916,3.11274
5300000000,1.01855e-10,7.04151,9.43532e-11,6.52373,0.481633,3.14204,9.43235e-11,6.52885,0.481104,3.14106
5350000000,1.01816e-10,7.07649,9.4314e-11,6.55594,0.483587,3.17037,9.42839e-11,6.56117,0.483047,3.16936
5400000000,1.01777e-10,7.11122,9.42753e-11,6.58792,0.485538,3.19869,9.42446e-11,6.59327,0.484986,3.19764
5450000000,1.01739e-10,7.14563,9.42369e-11,6.61962,0.487489,3.22699,9.42057e-11,6.62508,0.486925,3.22592
5500000000,1.01701e-10,7.1798,9.41989e-11,6.65108,0.489437,3.25528,9.41671e-11,6.65666,0.488862,3.25418
5550000000,1.01663e-10,7.21371,9.41612e-11,6.6823,0.491382,3.28356,9.41289e-11,6.688,0.490794,3.28243
5600000000,1.01626e-10,7.24735,9.41239e-11,6.71328,0.493325,3.31183,9.4091e-11,6.7191,0.492726,3.31067
5650000000,1.01589e-10,7.28073,9.4087e-11,6.74401,0.495267,3.34009,9.40535e-11,6.74995,0.494655,3.3389
5700000000,1.01553e-10,7.31391,9.40503e-11,6.77455,0.497204,3.36833,9.40163e-11,6.78061,0.49658,3.36712
5750000000,1.01516e-10,7.3468,9.4014e-11,6.80484,0.49914,3.39657,9.39795e-11,6.81102,0.498504,3.39532
5800000000,1.01481e-10,7.37944,9.39781e-11,6.83488,0.501076,3.42479,9.39429e-11,6.84119,0.500426,3.42351
5850000000,1.01445e-10,7.41189,9.39424e-11,6.86476,0.503005,3.45301,9.39067e-11,6.87119,0.502343,3.45169
5900000000,1.0141e-10,7.44406,9.39071e-11,6.89437,0.504935,3.48121,9.38708e-11,6.90093,0.50426,3.47987
5950000000,1.01375e-10,7.476,9.38721e-11,6.92377,0.506863,3.5094,9.38352e-11,6.93046,0.506175,3.50803
6000000000,1.0134e-10,7.50772,9.38374e-11,6.95296,0.508789,3.53759,9.37999e-11,6.95978,0.508087,3.53617
6050000000,1.01306e-10,7.53922,9.38031e-11,6.98195,0.510711,3.56576,9.3765e-11,6.9889,0.509996,3.56431
6100000000,1.01272e-10,7.57047,9.3769e-11,7.01072,0.512633,3.59392,9.37303e-11,7.0178,0.511905,3.59244
6150000000,1.01238e-10,7.60152,9.37352e-11,7.0393,0.514551,3.62208,9.36959e-11,7.04651,0.513809,3.62056
6200000000,1.01205e-10,7.63231,9.37017e-11,7.06763,0.51647,3.65022,9.36619e-11,7.07497,0.515715,3.64867
6250000000,1.01172e-10,7.66295,9.36686e-11,7.09583,0.518383,3.67836,9.36281e-11,7.1033,0.517613,3.67677
6300000000,1.01139e-10,7.69334,9.36357e-11,7.12379,0.520296,3.70648,9.35945e-11,7.1314,0.519512,3.70485
6350000000,1.01107e-10,7.72352,9.36031e-11,7.15156,0.522207,3.7346,9.35613e-11,7.15931,0.521409,3.73293
6400000000,1.01074e-10,7.7535,9.35707e-11,7.17914,0.524116,3.7627,9.35283e-11,7.18703,0.523303,3.761
6450000000,1.01043e-10,7.78332,9.35386e-11,7.20658,0.526019,3.7908,9.34957e-11,7.21461,0.525192,3.78906
6500000000,1.01011e-10,7.81291,9.35068e-11,7.23381,0.527922,3.81889,9.34632e-11,7.24197,0.527081,3.8171
6550000000,1.00979e-10,7.84232,9.34753e-11,7.26086,0.529822,3.84696,9.34311e-11,7.26917,0.528966,3.84514
6600000000,1.00948e-10,7.87151,9.34441e-11,7.28772,0.531721,3.87503,9.33991e-11,7.29617,0.53085,3.87317
6650000000,1.00917e-10,7.90049,9.3413e-11,7.31438,0.533619,3.90309,9.33675e-11,7.32297,0.532734,3.90119
6700000000,1.00887e-10,7.92933,9.33823e-11,7.34091,0.535512,3.93115,9.33361e-11,7.34965,0.534611,3.9292
6750000000,1.00856e-10,7.95794,9.33518e-11,7.36722,0.537406,3.95919,9.33049e-11,7.3761,0.536489,3.9572
6800000000,1.00826e-10,7.98638,9.33215e-11,7.39338,0.539296,3.98722,9.3274e-11,7.40241,0.538364,3.98519
6850000000,1.00796e-10,8.01466,9.32915e-11,7.4194,0.541182,4.01525,9.32433e-11,7.42857,0.540235,4.01317
6900000000,1.00767e-10,8.04278,9.32617e-11,7.44527,0.543065,4.04327,9.32128e-11,7.45459,0.542102,4.04115
6950000000,1.00737e-10,8.07072,9.32321e-11,7.47096,0.544946,4.07127,9.31826e-11,7.48043,0.543967,4.06911
7000000000,1.00708e-10,8.09847,9.32028e-11,7.49648,0.546826,4.09927,9.31526e-11,7.5061,0.545831,4.09707
7050000000,1.00679e-10,8.12607,9.31737e-11,7.52187,0.548702,4.12727,9.31228e-11,7.53163,0.547691,4.12501
7100000000,1.0065e-10,8.15348,9.31448e-11,7.54708,0.550577,4.15525,9.30933e-11,7.557,0.54955,4.15295
7150000000,1.00622e-10,8.18076,9.31162e-11,7.57216,0.552448,4.18322,9.30639e-11,7.58224,0.551404,4.18088
7200000000,1.00593e-10,8.20785,9.30877e-11,7.59708,0.554317,4.21119,9.30348e-11,7.6073,0.553257,4.20879
7250000000,1.00565e-10,8.2348,9.30595e-11,7.62186,0.556183,4.23915,9.30059e-11,7.63225,0.555106,4.2367
7300000000,1.00537e-10,8.26158,9.30315e-11,7.64649,0.558047,4.2671,9.29771e-11,7.65703,0.556953,4.26461
7350000000,1.0051e-10,8.28822,9.30037e-11,7.67098,0.559908,4.29504,9.29486e-11,7.68168,0.558797,4.2925
7400000000,1.00482e-10,8.31476,9.29761e-11,7.69539,0.561762,4.32298,9.29203e-11,7.70624,0.560634,4.32038
7450000000,1.00455e-10,8.3411,9.29487e-11,7.7196,0.563618,4.3509,9.28922e-11,7.73061,0.562473,4.34826
7500000000,1.00428e-10,8.36729,9.29215e-11,7.74369,0.56547,4.37882,9.28643e-11,7.75486,0.564308,4.37612
7550000000,1.00401e-10,8.39339,9.28945e-11,7.76769,0.567316,4.40673,9.28365e-11,7.77902,0.566136,4.40398
7600000000,1.00374e-10,8.41932,9.28677e-11,7.79153,0.569161,4.43464,9.2809e-11,7.80302,0.567964,4.43183
7650000000,1.00348e-10,8.44512,9.2841e-11,7.81524,0.571004,4.46253,9.27816e-11,7.8269,0.569788,4.45967
7700000000,1.00321e-10,8.47078,9.28146e-11,7.83884,0.572843,4.49042,9.27544e-11,7.85065,0.57161,4.48751
7750000000,1.00295e-10,8.49631,9.27883e-11,7.8623,0.574679,4.5183,9.27274e-11,7.87429,0.573428,4.51533
7800000000,1.00269e-10,8.52175,9.27623e-11,7.88569,0.576509,4.54617,9.27006e-11,7.89783,0.57524,4.54315
7850000000,1.00244e-10,8.54701,9.27364e-11,7.90891,0.57834,4.57404,9.2674e-11,7.92122,0.577052,4.57096
7900000000,1.00218e-10,8.57221,9.27107e-11,7.93208,0.580162,4.60189,9.26475e-11,7.94456,0.578856,4.59876
7950000000,1.00193e-10,8.59725,9.26851e-11,7.95509,0.581985,4.62974,9.26212e-11,7.96774,0.58066,4.62655
8000000000,1.00167e-10,8.62218,9.26598e-11,7.97801,0.583803,4.65759,9.2595e-11,7.99083,0.582459,4.65433
8050000000,1.00142e-10,8.64702,9.26346e-11,8.00085,0.585616,4.68542,9.25691e-11,8.01383,0.584254,4.68211
8100000000,1.00118e-10,8.67173,9.26096e-11,8.02355,0.587427,4.71325,9.25433e-11,8.03671,0.586045,4.70988
8150000000,1.00093e-10,8.69633,9.25847e-11,8.04617,0.589234,4.74107,9.25177e-11,8.0595,0.587833,4.73764
8200000000,1.00068e-10,8.72084,9.256e-11,8.06869,0.591036,4.76889,9.24922e-11,8.0822,0.589616,4.76539
8250000000,1.00044e-10,8.74524,9.25355e-11,8.09113,0.592834,4.7967,9.24669e-11,8.10481,0.591395,4.79314
8300000000,1.0002e-10,8.76955,9.25111e-11,8.11347,0.594628,4.8245,9.24417e-11,8.12732,0.593169,4.82088
8350000000,9.99956e-11,8.79372,9.2487e-11,8.13568,0.596421,4.85229,9.24167e-11,8.14971,0.594942,4.84861
8400000000,9.99717e-11,8.81782,9.24629e-11,8.15783,0.598208,4.88008,9.23919e-11,8.17204,0.596709,4.87633
8450000000,9.9948e-11,8.84178,9.2439e-11,8.17985,0.599993,4.90786,9.23672e-11,8.19424,0.598474,4.90404
8500000000,9.99244e-11,8.86572,9.24153e-11,8.20185,0.601771,4.93563,9.23427e-11,8.21642,0.600231,4.93175
8550000000,9.9901e-11,8.88955,9.23918e-11,8.22375,0.603544,4.9634,9.23183e-11,8.2385,0.601985,4.95945
8600000000,9.98777e-11,8.91331,9.23683e-11,8.24559,0.605313,4.99116,9.2294e-11,8.26052,0.603732,4.98714
8650000000,9.98546e-11,8.93693,9.23451e-11,8.2673,0.60708,5.01891,9.22699e-11,8.28241,0.605479,5.01483
8700000000,9.98317e-11,8.96052,9.2322e-11,8.28898,0.60884,5.04666,9.2246e-11,8.30428,0.607218,5.04251
8750000000,9.98089e-11,8.98397,9.2299e-11,8.31052,0.6106,5.0744,9.22222e-11,8.32601,0.608957,5.07018
8800000000,9.97862e-11,9.00738,9.22762e-11,8.33204,0.612352,5.10214,9.21986e-11,8.34771,0.610688,5.09785
8850000000,9.97637e-11,9.03072,9.22536e-11,8.35349,0.614099,5.12987,9.21751e-11,8.36935,0.612414,5.1255
8900000000,9.97413e-11,9.05392,9.22311e-11,8.37481,0.615846,5.15759,9.21517e-11,8.39086,0.614139,5.15316
8950000000,9.97191e-11,9.07712,9.22087e-11,8.39613,0.617584,5.18531,9.21285e-11,8.41237,0.615855,5.1808
9000000000,9.96971e-11,9.10021,9.21865e-11,8.41734,0.619319,5.21302,9.21054e-11,8.43378,0.617569,5.20844
9050000000,9.96751e-11,9.12326,9.21644e-11,8.43853,0.621048,5.24073,9.20825e-11,8.45515,0.619275,5.23607
9100000000,9.96534e-11,9.14621,9.21425e-11,8.45962,0.622774,5.26843,9.20597e-11,8.47643,0.62098,5.26369
9150000000,9.96317e-11,9.16912,9.21207e-11,8.48067,0.624494,5.29612,9.2037e-11,8.49768,0.622677,5.29131
9200000000,9.96102e-11,9.19192,9.20991e-11,8.50162,0.626212,5.32381,9.20145e-11,8.51883,0.624373,5.31892
9250000000,9.95889e-11,9.21472,9.20776e-11,8.52257,0.627921,5.3515,9.19921e-11,8.53998,0.626059,5.34653
9300000000,9.95677e-11,9.23744,9.20562e-11,8.54345,0.629626,5.37918,9.19698e-11,8.56106,0.627741,5.37413
9350000000,9.95466e-11,9.26002,9.2035e-11,8.5642,0.631332,5.40685,9.19477e-11,8.58201,0.629424,5.40172
9400000000,9.95257e-11,9.28264,9.20139e-11,8.58498,0.633026,5.43452,9.19257e-11,8.60299,0.631096,5.42931
9450000000,9.95049e-11,9.30514,9.19929e-11,8.60566,0.634719,5.46218,9.19038e-11,8.62388,0.632766,5.45689
9500000000,9.94842e-11,9.32765,9.19721e-11,8.62634,0.636404,5.48984,9.18821e-11,8.64476,0.634427,5.48447
9550000000,9.94637e-11,9.35005,9.19514e-11,8.64692,0.638087,5.51749,9.18605e-11,8.66555,0.636086,5.51204
9600000000,9.94433e-11,9.37241,9.19309e-11,8.66747,0.639765,5.54514,9.18391e-11,8.6863,0.63774,5.5396
9650000000,9.94231e-11,9.39473,9.19105e-11,8.68798,0.641436,5.57278,9.18177e-11,8.70702,0.639387,5.56716
9700000000,9.9403e-11,9.41698,9.18902e-11,8.70843,0.643103,5.60042,9.17965e-11,8.72768,0.641031,5.59471
9750000000,9.9383e-11,9.43917,9.18701e-11,8.72882,0.644768,5.62806,9.17755e-11,8.74828,0.642671,5.62226
9800000000,9.93632e-11,9.46135,9.18501e-11,8.7492,0.646423,5.65569,9.17545e-11,8.76888,0.644302,5.6498
9850000000,9.93435e-11,9.48347,9.18302e-11,8.76952,0.648076,5.68331,9.17337e-11,8.78941,0.64593,5.67734
9900000000,9.93239e-11,9.50551,9.18104e-11,8.78978,0.649724,5.71093,9.1713e-11,8.80988,0.647554,5.70487
9950000000,9.93044e-11,9.52756,9.17908e-11,8.81004,0.651365,5.73855,9.16924e-11,8.83036,0.649169,5.7324
1e+10,9.92851e-11,9.54955,9.17713e-11,8.83024,0.653002,5.76616,9.1672e-11,8.85078,0.650781,5.75992
1.005e+10,9.92659e-11,9.5715,9.1752e-11,8.85041,0.654633,5.79377,9.16517e-11,8.87117,0.652387,5.78744
1.01e+10,9.92469e-11,9.59335,9.17328e-11,8.87049,0.656263,5.82138,9.16315e-11,8.89147,0.653992,5.81495
1.015e+10,9.9228e-11,9.61521,9.17137e-11,8.89058,0.657885,5.84898,9.16114e-11,8.91178,0.655588,5.84246
1.02e+10,9.92092e-11,9.63704,9.16947e-11,8.91064,0.659501,5.87658,9.15915e-11,8.93207,0.657178,5.86996
1.025e+10,9.91905e-11,9.65881,9.16759e-11,8.93064,0.661114,5.90417,9.15717e-11,8.9523,0.658765,5.89746
1.03e+10,9.9172e-11,9.68051,9.16572e-11,8.95059,0.662723,5.93176,9.1552e-11,8.97247,0.660348,5.92495
1.035e+10,9.91536e-11,9.70223,9.16386e-11,8.97055,0.664323,5.95934,9.15324e-11,8.99266,0.661922,5.95244
1.04e+10,9.91353e-11,9.7239,9.16201e-11,8.99046,0.66592,5.98693,9.15129e-11,9.0128,0.663492,5.97992
1.045e+10,9.91171e-11,9.7455,9.16018e-11,9.01031,0.667514,6.01451,9.14936e-11,9.03289,0.665059,6.0074
1.05e+10,9.90991e-11,9.76709,9.15836e-11,9.03015,0.669101,6.04208,9.14744e-11,9.05296,0.66662,6.03488
1.055e+10,9.90812e-11,9.78862,9.15655e-11,9.04993,0.670685,6.06966,9.14553e-11,9.07298,0.668177,6.06235
1.06e+10,9.90634e-11,9.81013,9.15475e-11,9.06971,0.672263,6.09723,9.14363e-11,9.09299,0.669727,6.08982
1.065e+10,9.90457e-11,9.83163,9.15297e-11,9.08946,0.673834,6.12479,9.14175e-11,9.11298,0.671271,6.11728
1.07e+10,9.90282e-11,9.85308,9.15119e-11,9.10917,0.675402,6.15236,9.13987e-11,9.13293,0.672812,6.14474
1.075e+10,9.90108e-11,9.87448,9.14944e-11,9.12884,0.676966,6.17992,9.13801e-11,9.15284,0.674348,6.1722
